lambda,u4n_qmc_eta10,u4n_ed_eta10,n_mean_eta10,u4n_qmc_eta50,u4n_ed_eta50,n_mean_eta50,u4n_qmc_eta200,u4n_ed_eta200,n_mean_eta200,u4n_qmc_eta500,u4n_ed_eta500,n_mean_eta500
0.320000,-4.9995742670e0,-3.9590083827e1,8.4512500000e-3,-2.1288260809e1,-1.6937680602e2,2.0287500000e-3,-8.6909077048e1,-6.5758199135e2,4.8250000000e-4,-1.9793468933e2,-1.6341344487e3,2.0875000000e-4
0.325000,-4.8862788774e0,-3.8387114760e1,8.7825000000e-3,-2.0209713015e1,-1.6420651154e2,2.0212500000e-3,-7.9576045850e1,-6.3750464469e2,5.2500000000e-4,-1.9441233234e2,-1.5842402881e3,2.1250000000e-4
0.330000,-4.5318094045e0,-3.7238389947e1,8.9787500000e-3,-1.9946837990e1,-1.5926944461e2,2.0337500000e-3,-7.7511306337e1,-6.1833297308e2,5.2625000000e-4,-2.4896034367e2,-1.5365968184e3,1.6625000000e-4
0.335000,-4.6472996681e0,-3.6140694937e1,9.2650000000e-3,-1.9429299517e1,-1.5455178562e2,2.1737500000e-3,-7.7833700897e1,-6.0001331196e2,5.3625000000e-4,-1.9101213836e2,-1.4910706777e3,2.1625000000e-4
0.340000,-4.4941921198e0,-3.5091049887e1,9.3587500000e-3,-1.8932827237e1,-1.5004072359e2,2.2412500000e-3,-6.6610720965e1,-5.8249591345e2,6.4500000000e-4,-1.8148412426e2,-1.4475382379e3,2.2750000000e-4
0.345000,-4.1545726021e0,-3.4086689308e1,9.9412500000e-3,-1.9333318856e1,-1.4572436910e2,2.1612500000e-3,-7.6737124117e1,-5.6573460824e2,5.5500000000e-4,-1.7851413132e2,-1.4058847636e3,2.3125000000e-4
0.350000,-4.0579050360e0,-3.3125043827e1,1.0202500000e-2,-1.7927143246e1,-1.4159167584e2,2.3562500000e-3,-6.8950527747e1,-5.4968650115e2,6.1375000000e-4,-1.5936462058e2,-1.3660036560e3,2.5875000000e-4
0.355000,-4.0126180211e0,-3.2203723730e1,1.0635000000e-2,-1.7035914398e1,-1.3763236992e2,2.4687500000e-3,-6.5404079428e1,-5.3431169630e2,6.2125000000e-4,-1.7851413132e2,-1.3277957703e3,2.3125000000e-4
0.360000,-3.8897151686e0,-3.1320504097e1,1.0708750000e-2,-1.7024582056e1,-1.3383688591e2,2.5062500000e-3,-6.7346016721e1,-5.1957304902e2,6.2750000000e-4,-1.6173270753e2,-1.2911687981e3,2.5500000000e-4
0.365000,-3.7381820741e0,-3.0473311351e1,1.1113750000e-2,-1.6003699871e1,-1.3019630901e2,2.5912500000e-3,-6.8212069228e1,-5.0543594125e2,6.2000000000e-4,-1.6753872903e2,-1.2560367102e3,2.4625000000e-4
0.370000,-3.9072550677e0,-2.9660211069e1,1.1470000000e-2,-1.5018383287e1,-1.2670232271e2,2.7225000000e-3,-6.1586206201e1,-4.9186807803e2,6.5875000000e-4,-1.3008648447e2,-1.2223192505e3,3.1625000000e-4
0.375000,-3.6275178285e0,-2.8879396923e1,1.1655000000e-2,-1.4814287752e1,-1.2334716119e2,2.7437500000e-3,-5.7556701022e1,-4.7883930299e2,7.2750000000e-4,-1.4078425761e2,-1.1899414775e3,2.9250000000e-4
0.380000,-3.4566559867e0,-2.8129180641e1,1.1951250000e-2,-1.5046268193e1,-1.2012356614e2,2.8475000000e-3,-6.0268351183e1,-4.6632143057e2,6.8500000000e-4,-1.3607518879e2,-1.1588333473e3,3.0250000000e-4
0.385000,-3.5939346052e0,-2.7407982861e1,1.2271250000e-2,-1.3973147746e1,-1.1702474753e2,2.8812500000e-3,-5.3415266551e1,-4.5428809347e2,7.6875000000e-4,-1.3220297397e2,-1.1289293346e3,3.1125000000e-4
0.390000,-3.3489525730e0,-2.6714324812e1,1.2653750000e-2,-1.3850668848e1,-1.1404434774e2,2.9525000000e-3,-5.1329613913e1,-4.4271460372e2,7.8625000000e-4,-1.4106305142e2,-1.1001680874e3,3.0375000000e-4
0.395000,-3.2400029296e0,-2.6046820720e1,1.2835000000e-2,-1.4303744454e1,-1.1117640899e2,2.9500000000e-3,-5.6018175253e1,-4.3157782590e2,7.5750000000e-4,-1.4453292548e2,-1.0724921119e3,2.8500000000e-4
0.400000,-3.2172429505e0,-2.5404170880e1,1.3145000000e-2,-1.2857640682e1,-1.0841534350e2,3.1387500000e-3,-5.5487237338e1,-4.2085606148e2,7.7500000000e-4,-1.3166750209e2,-1.0458474852e3,3.1250000000e-4
0.405000,-3.1558558854e0,-2.4785155318e1,1.3685000000e-2,-1.3260134279e1,-1.0575590630e2,3.1637500000e-3,-5.2645617084e1,-4.1052894300e2,8.0250000000e-4,-1.2854252219e2,-1.0201835921e3,3.2000000000e-4
0.410000,-2.9839815668e0,-2.4188627993e1,1.3998750000e-2,-1.3112213216e1,-1.0319317025e2,3.1650000000e-3,-5.1445856116e1,-4.0057733731e2,8.4125000000e-4,-1.2412038254e2,-9.9545288497e2,3.3125000000e-4
0.415000,-2.9243279599e0,-2.3613511488e1,1.4386250000e-2,-1.2738637771e1,-1.0072250324e2,3.2762500000e-3,-4.4304227612e1,-3.9098325689e2,9.1875000000e-4,-1.1823833932e2,-9.7161066296e2,3.4750000000e-4
0.420000,-2.8013685217e0,-2.3058792134e1,1.4625000000e-2,-1.2896711942e1,-9.8339547209e1,3.2250000000e-3,-4.6385506387e1,-3.8172977846e2,9.1375000000e-4,-1.3386957294e2,-9.4861487012e2,3.3000000000e-4
0.425000,-2.6978460389e0,-2.2523515537e1,1.5010000000e-2,-1.2212636230e1,-9.6040198958e1,3.5262500000e-3,-4.6915974650e1,-3.7280096837e2,8.7000000000e-4,-1.1367455321e2,-9.2642590976e2,3.6125000000e-4
0.430000,-2.7344916428e0,-2.2006782470e1,1.5441250000e-2,-1.1477014478e1,-9.3820592441e1,3.6837500000e-3,-4.4431314165e1,-3.6418181390e2,9.1625000000e-4,-1.1209995565e2,-9.0500647381e2,3.6625000000e-4
0.435000,-2.6780462896e0,-2.1507745087e1,1.5676250000e-2,-1.1486127644e1,-9.1677082516e1,3.6300000000e-3,-4.5211620663e1,-3.5585816016e2,9.4625000000e-4,-1.0944544745e2,-8.8432138599e2,3.7500000000e-4
0.440000,-2.5318474634e0,-2.1025603443e1,1.6058750000e-2,-1.1247884514e1,-8.9606229967e1,3.7162500000e-3,-4.7639045829e1,-3.4781665190e2,9.1250000000e-4,-1.1171300103e2,-8.6433745722e2,3.6750000000e-4
0.445000,-2.5972928577e0,-2.0559602279e1,1.6553750000e-2,-1.0782515569e1,-8.7604787699e1,3.8750000000e-3,-4.1901949512e1,-3.4004467994e2,9.6875000000e-4,-1.0907631090e2,-8.4502335245e2,3.7625000000e-4
0.450000,-2.6337820405e0,-2.0109028064e1,1.6883750000e-2,-1.1251566494e1,-8.5669688007e1,3.8475000000e-3,-4.1939735855e1,-3.3253033170e2,1.0025000000e-3,-1.0315619965e2,-8.2634946775e2,3.9750000000e-4
0.455000,-2.7130378692e0,-1.9673206256e1,1.7301250000e-2,-1.0532132884e1,-8.3798030806e1,4.0212500000e-3,-3.6514804394e1,-3.2526234551e2,1.1037500000e-3,-9.6373686219e1,-8.0828781677e2,4.2500000000e-4
0.460000,-2.4138446727e0,-1.9251498773e1,1.7748750000e-2,-1.0455297022e1,-8.1987072766e1,4.0437500000e-3,-3.9108031928e1,-3.1823006840e2,1.0800000000e-3,-1.0641548445e2,-7.9081192585e2,3.9750000000e-4
0.465000,-2.3623169357e0,-1.8843301657e1,1.7843750000e-2,-1.0127139707e1,-8.0234217249e1,4.1012500000e-3,-3.8449115384e1,-3.1142341706e2,1.1075000000e-3,-9.9651556214e1,-7.7389673698e2,4.1125000000e-4
0.470000,-2.3048362939e0,-1.8448042902e1,1.8485000000e-2,-9.6858565553e0,-7.8537004997e1,4.3187500000e-3,-3.8150245060e1,-3.0483284163e2,1.0937500000e-3,-9.4673604351e1,-7.5751851785e2,4.3250000000e-4
0.475000,-2.3297626838e0,-1.8065180451e1,1.8437500000e-2,-9.3957030383e0,-7.6893105503e1,4.3937500000e-3,-3.9208758214e1,-2.9844929225e2,1.0437500000e-3,-8.9076988484e1,-7.4165477864e2,4.7125000000e-4
0.480000,-2.1725737978e0,-1.7694200335e1,1.9518750000e-2,-9.4573201252e0,-7.5300309004e1,4.3887500000e-3,-3.8510777476e1,-2.9226418792e2,1.1162500000e-3,-8.9409239054e1,-7.2628419473e2,4.5750000000e-4
0.485000,-2.1586508915e0,-1.7334614939e1,1.9671250000e-2,-9.4321484344e0,-7.3756519053e1,4.5262500000e-3,-3.5126880121e1,-2.8626938766e2,1.1800000000e-3,-1.0676657634e2,-7.1138653501e2,3.9625000000e-4
0.490000,-2.0631804538e0,-1.6985961403e1,2.0047500000e-2,-8.9403132040e0,-7.2259745615e1,4.6687500000e-3,-3.5354202210e1,-2.8045716372e2,1.1500000000e-3,-8.9823381461e1,-6.9694259528e2,4.6750000000e-4
0.495000,-2.1106645589e0,-1.6647800123e1,2.0236250000e-2,-8.9212900912e0,-7.0808098652e1,4.7612500000e-3,-3.4787971002e1,-2.7482017667e2,1.1675000000e-3,-8.9161082517e1,-6.8293413632e2,4.5875000000e-4
0.500000,-2.0373925691e0,-1.6319713370e1,2.0698750000e-2,-8.8206132157e0,-6.9399782154e1,4.7787500000e-3,-3.0927855885e1,-2.6935145221e2,1.3375000000e-3,-8.2509742756e1,-6.6934382631e2,4.9500000000e-4
0.505000,-2.0094810863e0,-1.6001303991e1,2.1326250000e-2,-8.2784859460e0,-6.8033088578e1,4.9412500000e-3,-3.2353144333e1,-2.6404435956e2,1.2837500000e-3,-8.0034045310e1,-6.5615518713e2,5.1000000000e-4
0.510000,-1.9898144683e0,-1.5692194208e1,2.1591250000e-2,-8.1962866117e0,-6.6706393672e1,5.0662500000e-3,-2.9971885499e1,-2.5889259139e2,1.3650000000e-3,-7.7833700897e1,-6.4335254446e2,5.3625000000e-4
0.515000,-1.9168603196e0,-1.5392024492e1,2.1986250000e-2,-8.0277584804e0,-6.5418151649e1,5.0787500000e-3,-3.2206014720e1,-2.5389014508e2,1.3312500000e-3,-8.8914274676e1,-6.3092098117e2,4.6000000000e-4
0.520000,-1.8775537176e0,-1.5100452519e1,2.2671250000e-2,-7.8962227282e0,-6.4166890678e1,5.2375000000e-3,-3.1668965145e1,-2.4903130516e2,1.3512500000e-3,-7.7889230706e1,-6.1884629379e2,5.2375000000e-4
0.525000,-1.8241954097e0,-1.4817152188e1,2.3110000000e-2,-7.7823608610e0,-6.2951208678e1,5.3837500000e-3,-2.9447846325e1,-2.4431062706e2,1.4412500000e-3,-7.5495273408e1,-6.0711495202e2,5.4000000000e-4
0.530000,-1.7652201120e0,-1.4541812709e1,2.3495000000e-2,-7.8668085179e0,-6.1769769394e1,5.3937500000e-3,-3.0184933348e1,-2.3972292178e2,1.4100000000e-3,-7.9398897524e1,-5.9571406072e2,5.3750000000e-4
0.535000,-1.8217278008e0,-1.4274137749e1,2.3692500000e-2,-7.6804262936e0,-6.0621298716e1,5.7675000000e-3,-2.9298350983e1,-2.3526324170e2,1.4050000000e-3,-6.8950527747e1,-5.8463132451e2,6.1375000000e-4
0.540000,-1.7045706167e0,-1.4013844631e1,2.4815000000e-2,-7.3800225049e0,-5.9504581250e1,5.6150000000e-3,-2.7167434273e1,-2.3092686715e2,1.5375000000e-3,-6.9712484741e1,-5.7385501460e2,5.8375000000e-4
0.545000,-1.9457357506e0,-1.3760663585e1,2.4530000000e-2,-7.3888585514e0,-5.8418457095e1,5.7375000000e-3,-2.8035496541e1,-2.2670929398e2,1.4950000000e-3,-6.8620996544e1,-5.6337393772e2,6.0500000000e-4
0.550000,-1.5814494221e0,-1.3514337052e1,2.5107500000e-2,-7.5819187747e0,-5.7361818831e1,5.7025000000e-3,-2.7614346535e1,-2.2260622184e2,1.4937500000e-3,-6.8510362820e1,-5.5317740708e2,5.9375000000e-4
