lambda,u4n_qmc_eta10,u4n_ed_eta10,n_mean_eta10,u4n_qmc_eta50,u4n_ed_eta50,n_mean_eta50,u4n_qmc_eta200,u4n_ed_eta200,n_mean_eta200,u4n_qmc_eta500,u4n_ed_eta500,n_mean_eta500
0.740000,-9.2299653892e-1,-7.5226622099e0,4.6261250000e-2,-4.1138041578e0,-3.1703809067e1,1.0435000000e-2,-1.5691552292e1,-1.2297440836e2,2.7275000000e-3,-4.0282550332e1,-3.0558279507e2,1.0512500000e-3
0.745000,-9.0479876444e-1,-7.4234388527e0,4.6800000000e-2,-3.8915816600e0,-3.1280162984e1,1.0621250000e-2,-1.5476169324e1,-1.2132941461e2,2.7312500000e-3,-3.8491802981e1,-3.0149482992e2,1.0500000000e-3
0.750000,-8.6778961052e-1,-7.3261767754e0,4.7391250000e-2,-3.8556507149e0,-3.0864960740e1,1.0706250000e-2,-1.4600166003e1,-1.1971721090e2,2.7875000000e-3,-3.4668881115e1,-2.9748835122e2,1.1712500000e-3
0.755000,-8.6126391689e-1,-7.2308241534e0,4.7920000000e-2,-3.7996241540e0,-3.0457979396e1,1.0950000000e-2,-1.4887443244e1,-1.1813693149e2,2.7425000000e-3,-4.0005313655e1,-2.9356120756e2,1.0787500000e-3
0.760000,-8.5300592778e-1,-7.1373308627e0,4.8285000000e-2,-3.9178834826e0,-3.0059003319e1,1.1002500000e-2,-1.4917869383e1,-1.1658773905e2,2.8600000000e-3,-3.7624944504e1,-2.8971131807e2,1.1187500000e-3
0.765000,-8.4896574176e-1,-7.0456484129e0,4.9556250000e-2,-3.6979669089e0,-2.9667823904e1,1.1310000000e-2,-1.3632296203e1,-1.1506882349e2,2.9412500000e-3,-3.3832964614e1,-2.8593666963e2,1.2325000000e-3
0.770000,-8.9924415598e-1,-6.9557298839e0,4.9692500000e-2,-3.7913237653e0,-2.9284239293e1,1.1281250000e-2,-1.3528462654e1,-1.1357940098e2,2.9287500000e-3,-3.3988759781e1,-2.8223531429e2,1.2162500000e-3
0.775000,-8.3941860370e-1,-6.8675298655e0,5.0687500000e-2,-3.5553215001e0,-2.8908054121e1,1.1460000000e-2,-1.3855173202e1,-1.1211871285e2,3.0087500000e-3,-3.3334863921e1,-2.7860536673e2,1.2150000000e-3
0.780000,-8.0075439586e-1,-6.7810043993e0,5.1351250000e-2,-3.6440720234e0,-2.8539079262e1,1.1716250000e-2,-1.2958278910e1,-1.1068602469e2,3.0987500000e-3,-3.3875022191e1,-2.7504500187e2,1.2200000000e-3
0.785000,-8.6460849818e-1,-6.6961109234e0,5.1937500000e-2,-3.6149058325e0,-2.8177131598e1,1.1856250000e-2,-1.3711596639e1,-1.0928062541e2,3.0250000000e-3,-3.3908380148e1,-2.7155245255e2,1.2075000000e-3
0.790000,-8.6510259387e-1,-6.6128082198e0,5.2253750000e-2,-3.5895755440e0,-2.7822033783e1,1.2123750000e-2,-1.3165928873e1,-1.0790182634e2,3.1075000000e-3,-3.3795043321e1,-2.6812600738e2,1.2112500000e-3
0.795000,-7.8481513790e-1,-6.5310563633e0,5.3571250000e-2,-3.5015825612e0,-2.7473614034e1,1.2048750000e-2,-1.3360360505e1,-1.0654896040e2,3.1800000000e-3,-3.1737466045e1,-2.6476400859e2,1.2837500000e-3
0.800000,-8.1223967497e-1,-6.4508166740e0,5.3821250000e-2,-3.4276770489e0,-2.7131705917e1,1.2092500000e-2,-1.3143569110e1,-1.0522138130e2,3.1862500000e-3,-3.1567271175e1,-2.6146485006e2,1.3237500000e-3
