lambda,u4_qmc_eta10,u4_ed_eta10,x2_qmc_eta10,x2_ed_eta10,u4_qmc_eta50,u4_ed_eta50,x2_qmc_eta50,x2_ed_eta50,u4_qmc_eta200,u4_ed_eta200,x2_qmc_eta200,x2_ed_eta200,u4_qmc_eta500,u4_ed_eta500,x2_qmc_eta500,x2_ed_eta500
0.840000,2.7918290244e-2,2.5465448571e-2,1.2471295845e0,1.2490205764e0,1.2412541036e-3,1.7860855807e-3,1.0544024896e0,1.0548423875e0,1.9573877606e-4,1.2692898856e-4,1.0161516466e0,1.0140075150e0,6.0014011157e-5,2.0860942059e-5,1.0087742122e0,1.0056279258e0
0.860000,2.8281564166e-2,2.7488643967e-2,1.2631939335e0,1.2612174387e0,2.2724994860e-3,1.9527296835e-3,1.0574647235e0,1.0574872133e0,1.3387543773e-4,1.3927141355e-4,1.0133525029e0,1.0146825171e0,1.6603235178e-5,2.2907451783e-5,1.0045262563e0,1.0058991151e0
0.880000,2.8449578607e-2,2.9600749639e-2,1.2759058396e0,1.2737191457e0,2.7243314324e-3,2.1300870091e-3,1.0633812876e0,1.0601944762e0,1.7144177480e-4,1.5247906622e-4,1.0152239619e0,1.0153734051e0,1.8986356003e-5,2.5100041083e-5,1.0048332183e0,1.0061766855e0
0.900000,3.3133007219e-2,3.1801326824e-2,1.2841500854e0,1.2865268107e0,2.6219124457e-3,2.3185181661e-3,1.0621486001e0,1.0629641902e0,2.2301800967e-4,1.6658957086e-4,1.0173581068e0,1.0160801793e0,3.3756125149e-5,2.7445371743e-5,1.0066871388e0,1.0064606371e0
0.920000,3.4018621623e-2,3.4089750591e-2,1.3024390061e0,1.2996415572e0,3.0013428736e-3,2.5183808996e-3,1.0667514786e0,1.0657963694e0,1.8308066704e-4,1.8164114263e-4,1.0156044932e0,1.0168028398e0,3.6527073421e-5,2.9950239423e-5,1.0069329202e0,1.0067509699e0
0.940000,3.7574169993e-2,3.6465216846e-2,1.3087608821e0,1.3130645184e0,3.1027526415e-3,2.7300295933e-3,1.0679539446e0,1.0686910285e0,3.7526010693e-4,1.9767257057e-4,1.0224966321e0,1.0175413869e0,3.8793079593e-5,3.2621572391e-5,1.0071324226e0,1.0070476839e0
0.960000,3.7463225790e-2,3.8926749892e-2,1.3247961071e0,1.3267968364e0,3.0569787842e-3,2.9538147828e-3,1.0672966724e0,1.0716481821e0,2.6163692150e-4,2.1472320041e-4,1.0187373048e0,1.0182958209e0,5.8347365538e-5,3.5466430239e-5,1.0087965164e0,1.0073507791e0
0.980000,4.0936360427e-2,4.1473210462e-2,1.3431988815e0,1.3408396607e0,3.6126428907e-3,3.1900826820e-3,1.0738471400e0,1.0746678453e0,2.5827438829e-4,2.3283291718e-4,1.0186876100e0,1.0190661421e0,5.8337445546e-5,3.8492002565e-5,1.0088179491e0,1.0076602556e0
1.000000,4.3450700635e-2,4.4103304141e-2,1.3538198056e0,1.3551941473e0,4.0651132041e-3,3.4391747225e-3,1.0786058598e0,1.0777500334e0,2.2280610533e-4,2.5204212758e-4,1.0172096604e0,1.0198523507e0,6.2016197606e-5,4.1705607641e-5,1.0090678822e0,1.0079761133e0
1.020000,4.5371675871e-2,4.6815590112e-2,1.3719252937e0,1.3698614581e0,2.9273636694e-3,3.7014271074e-3,1.0827392874e0,1.0808947619e0,2.5661082035e-4,2.7239174230e-4,1.0184949521e0,1.0206544470e0,3.1189248356e-5,4.5114691058e-5,1.0062266639e0,1.0082983522e0
