lambda,gap,eta
5.247959,undefined,5000
5.247959,undefined,25000
5.34898,0.3183838661,50
5.34898,0.75117260026,200
5.34898,0.94438324405,1000
5.34898,undefined,5000
5.34898,undefined,25000
5.45,0.30479032383,50
5.45,0.74302242029,200
5.45,0.94232500053,1000
5.45,undefined,5000
5.45,undefined,25000
5.55102,0.29153904954,50
5.55102,0.73481068016,200
5.55102,0.9402328613,1000
5.55102,undefined,5000
5.55102,undefined,25000
5.652041,0.27863631704,50
5.652041,0.72654139343,200
5.652041,0.93810707224,1000
5.652041,undefined,5000
5.652041,undefined,25000
5.753061,0.2660872913,50
5.753061,0.71821856393,200
5.753061,0.93594788276,1000
5.753061,undefined,5000
5.753061,undefined,25000
5.854082,0.25389606098,50
5.854082,0.70984618262,200
5.854082,0.93375554583,1000
5.854082,undefined,5000
5.854082,undefined,25000
5.955102,0.24206567375,50
5.955102,0.7014282245,200
5.955102,0.93153031783,1000
5.955102,undefined,5000
5.955102,undefined,25000
6.056122,0.23059817422,50
6.056122,0.69296864552,200
6.056122,0.92927245864,1000
6.056122,undefined,5000
6.056122,undefined,25000
6.157143,0.21949464409,50
6.157143,0.68447137972,200
6.157143,0.92698223142,1000
6.157143,undefined,5000
6.157143,undefined,25000
6.258163,0.20875524424,50
6.258163,0.67594033615,200
6.258163,0.92465990269,1000
6.258163,undefined,5000
6.258163,undefined,25000
6.359184,0.19837925846,50
6.359184,0.66737939611,200
6.359184,0.92230574227,1000
6.359184,undefined,5000
6.359184,undefined,25000
6.460204,0.18836513861,50
6.460204,0.65879241033,200
6.460204,0.91992002309,1000
6.460204,undefined,5000
6.460204,undefined,25000
6.561224,0.17871055081,50
6.561224,0.65018319621,200
6.561224,0.91750302133,1000
6.561224,undefined,5000
6.561224,undefined,25000
6.662245,0.16941242247,50
6.662245,0.64155553514,200
6.662245,0.91505501628,1000
6.662245,undefined,5000
6.662245,undefined,25000
6.763265,0.16046698986,50
6.763265,0.63291316997,200
6.763265,0.9125762902,1000
6.763265,undefined,5000
6.763265,undefined,25000
6.864286,0.15186984601,50
6.864286,0.62425980242,200
6.864286,0.9100671284,1000
6.864286,undefined,5000
6.864286,undefined,25000
6.965306,0.14361598857,50
6.965306,0.61559909068,200
6.965306,0.90752781914,1000
6.965306,undefined,5000
6.965306,undefined,25000
7.066327,0.13569986761,50
7.066327,0.606934647,200
7.066327,0.90495865358,1000
7.066327,undefined,5000
7.066327,undefined,25000
7.167347,0.12811543293,50
7.167347,0.59827003543,200
7.167347,0.90235992564,1000
