lambda,gap,eta
21.310204,0.010660112874,200
21.310204,0.40322936979,1000
21.310204,undefined,5000
21.310204,undefined,25000
21.411224,1.0859196209e-8,50
21.411224,0.01020983673,200
21.411224,0.39976388492,1000
21.411224,undefined,5000
21.411224,undefined,25000
21.512245,9.1350784714e-9,50
21.512245,0.0097765843347,200
21.512245,0.39631200553,1000
21.512245,undefined,5000
21.512245,undefined,25000
21.613265,7.6748847277e-9,50
21.613265,0.0093598063509,200
21.613265,0.39287389482,1000
21.613265,undefined,5000
21.613265,undefined,25000
21.714286,6.449738521e-9,50
21.714286,0.0089589669714,200
21.714286,0.38944971274,1000
21.714286,undefined,5000
21.714286,undefined,25000
21.815306,5.4116640058e-9,50
21.815306,0.0085735437385,200
21.815306,0.3860396163,1000
21.815306,undefined,5000
21.815306,undefined,25000
21.916327,4.5226329348e-9,50
21.916327,0.008203027319,200
21.916327,0.38264375928,1000
21.916327,undefined,5000
21.916327,undefined,25000
22.017347,3.7929908103e-9,50
22.017347,0.0078469214935,200
22.017347,0.37926229243,1000
22.017347,undefined,5000
22.017347,undefined,25000
22.118367,3.1806166589e-9,50
22.118367,0.0075047428851,200
22.118367,0.37589536347,1000
22.118367,undefined,5000
22.118367,undefined,25000
22.219388,2.6557813726e-9,50
22.219388,0.0071760207532,200
22.219388,0.37254311698,1000
22.219388,undefined,5000
22.219388,undefined,25000
22.320408,2.209219474e-9,50
22.320408,0.0068602969344,200
22.320408,0.36920569444,1000
22.320408,undefined,5000
22.320408,undefined,25000
22.421429,1.8457058104e-9,50
22.421429,0.0065571256028,200
22.421429,0.36588323434,1000
22.421429,undefined,5000
22.421429,undefined,25000
22.522449,1.5443220036e-9,50
22.522449,0.0062660730047,200
22.522449,0.36257587202,1000
22.522449,undefined,5000
22.522449,undefined,25000
22.623469,1.2840928321e-9,50
22.623469,0.0059867173734,200
22.623469,0.35928373984,1000
22.623469,undefined,5000
22.623469,undefined,25000
22.72449,1.067633093e-9,50
22.72449,0.0057186487578,200
22.72449,0.356006967,1000
22.72449,undefined,5000
22.72449,undefined,25000
22.82551,8.8186880021e-10,50
22.82551,0.0054614686881,200
22.82551,0.35274567977,1000
22.82551,undefined,5000
22.82551,undefined,25000
22.926531,7.4317085819e-10,50
22.926531,0.0052147901032,200
22.926531,0.34950000129,1000
22.926531,undefined,5000
22.926531,undefined,25000
23.027551,6.1652372096e-10,50
23.027551,0.0049782370851,200
23.027551,0.34627005167,1000
23.027551,undefined,5000
23.027551,undefined,25000
23.128571,5.0977178034e-10,50
23.128571,0.0047514447155,200
23.128571,0.34305594809,1000
23.128571,undefined,5000
23.128571,undefined,25000
23.229592,4.3075942813e-10,50
23.229592,0.0045340587508,200
23.229592,0.33985780459,1000
23.229592,undefined,5000
23.229592,undefined,25000
23.330612,3.4947333916e-10,50
23.330612,0.0043257355494,200
23.330612,0.33667573228,1000
23.330612,undefined,5000
23.330612,undefined,25000
23.431633,2.8308022593e-10,50
23.431633,0.0041261417852,200
23.431633,0.3335098392,1000
23.431633,undefined,5000
23.431633,undefined,25000
23.532653,2.3578650143e-10,50
23.532653,0.0039349542446,200
23.532653,0.33036023056,1000
23.532653,undefined,5000
23.532653,undefined,25000
23.633673,1.9053914002e-10,50
23.633673,0.0037518597144,200
23.633673,0.32722700843,1000
23.633673,undefined,5000
23.633673,undefined,25000
23.734694,1.7337242753e-10,50
23.734694,0.0035765545134,200
23.734694,0.32411027199,1000
23.734694,undefined,5000
23.734694,undefined,25000
23.835714,1.3767476048e-10,50
23.835714,0.0034087446464,200
23.835714,0.32101011742,1000
23.835714,undefined,5000
23.835714,undefined,25000
23.936735,1.1812062439e-10,50
23.936735,0.0032481453045,200
23.936735,0.31792663804,1000
23.936735,undefined,5000
23.936735,undefined,25000
24.037755,8.9016793936e-11,50
24.037755,0.0030944807733,200
24.037755,0.31485992416,1000
24.037755,undefined,5000
24.037755,undefined,25000
24.138776,6.7188921093e-11,50
24.138776,0.002947484192,200
24.138776,0.31181006326,1000
24.138776,undefined,5000
24.138776,undefined,25000
24.239796,5.4114934755e-11,50
24.239796,0.0028068974235,200
24.239796,0.30877713986,1000
24.239796,undefined,5000
24.239796,undefined,25000
24.340816,5.138645065e-11,50
24.340816,0.0026724707363,200
24.340816,0.30576123559,1000
24.340816,undefined,5000
24.340816,undefined,25000
24.441837,3.9676706365e-11,50
24.441837,0.0025439626636,200
24.441837,0.30276242931,1000
24.441837,undefined,5000
24.441837,undefined,25000
24.542857,3.2059688237e-11,50
24.542857,0.0024211398357,200
24.542857,0.29978079682,1000
24.542857,undefined,5000
24.542857,undefined,25000
24.643878,3.092281986e-11,50
24.643878,0.0023037766274,200
24.643878,0.2968164113,1000
24.643878,undefined,5000
24.643878,undefined,25000
24.744898,2.6830093702e-11,50
24.744898,0.0021916551556,200
24.744898,0.29386934301,1000
24.744898,undefined,5000
24.744898,undefined,25000
24.845918,2.9103830457e-11,50
24.845918,0.0020845649433,200
24.845918,0.29093965943,1000
24.845918,undefined,5000
24.845918,undefined,25000
24.946939,2.0008883439e-11,50
24.946939,0.0019823028397,200
24.946939,0.28802742518,1000
24.946939,undefined,5000
24.946939,undefined,25000
25.047959,8.98126018e-12,50
25.047959,0.0018846726854,200
25.047959,0.28513270217,1000
25.047959,undefined,5000
25.047959,undefined,25000
25.14898,7.0485839387e-12,50
25.14898,0.0017914852202,200
25.14898,0.28225554955,1000
25.14898,undefined,5000
25.14898,undefined,25000
25.25,1.3756107364e-11,50
25.25,0.0017025578636,200
25.25,0.27939602377,1000
25.25,undefined,5000
25.25,undefined,25000
25.35102,1.045918907e-11,50
25.35102,0.0016177145377,200
25.35102,0.27655417846,1000
25.35102,undefined,5000
25.35102,undefined,25000
25.452041,9.3223206932e-12,50
25.452041,0.0015367855333,200
25.452041,0.27373006463,1000
25.452041,undefined,5000
25.452041,undefined,25000
25.553061,7.1622707765e-12,50
25.553061,0.0014596071825,200
25.553061,0.27092373062,1000
25.553061,undefined,5000
25.553061,undefined,25000
25.654082,5.5706550484e-12,50
25.654082,0.0013860218628,200
25.654082,0.26813522204,1000
25.654082,undefined,5000
25.654082,undefined,25000
25.755102,2.1600499167e-12,50
25.755102,0.001315877706,200
25.755102,0.26536458192,1000
25.755102,undefined,5000
25.755102,undefined,25000
25.856122,2.5011104299e-12,50
25.856122,0.0012490284622,200
25.856122,0.26261185067,1000
25.856122,undefined,5000
25.856122,undefined,25000
25.957143,2.5011104299e-12,50
25.957143,0.0011853333436,200
25.957143,0.25987706601,1000
25.957143,undefined,5000
25.957143,undefined,25000
26.058163,7.2759576142e-12,50
26.058163,0.0011246568507,200
26.058163,0.25716026325,1000
26.058163,undefined,5000
26.058163,undefined,25000
26.159184,1.5916157281e-12,50
26.159184,0.0010668685554,200
26.159184,0.25446147497,1000
26.159184,undefined,5000
26.159184,undefined,25000
26.260204,3.1832314562e-12,50
26.260204,0.0010118430575,200
26.260204,0.25178073129,1000
26.260204,undefined,5000
26.260204,undefined,25000
26.361224,5.6843418861e-13,50
26.361224,0.00095945978421,200
26.361224,0.24911805987,1000
26.361224,undefined,5000
26.361224,undefined,25000
26.462245,4.4337866711e-12,50
26.462245,0.00090960270916,200
26.462245,0.24647348571,1000
26.462245,undefined,5000
26.462245,undefined,25000
26.563265,2.9558577808e-12,50
26.563265,0.00086216039642,200
26.563265,0.2438470316,1000
26.563265,undefined,5000
26.563265,undefined,25000
26.664286,5.6843418861e-12,50
26.664286,0.00081702575733,200
26.664286,0.2412387176,1000
26.664286,undefined,5000
26.664286,undefined,25000
26.765306,2.2737367544e-12,50
26.765306,0.00077409595076,200
26.765306,0.23864856152,1000
26.765306,undefined,5000
26.765306,undefined,25000
26.866327,8.0717654782e-12,50
26.866327,0.0007332721633,200
26.866327,0.23607657875,1000
26.866327,undefined,5000
26.866327,undefined,25000
26.967347,8.2991391537e-12,50
26.967347,0.0006944595375,200
26.967347,0.23352278224,1000
26.967347,undefined,5000
26.967347,undefined,25000
27.068367,2.6147972676e-12,50
27.068367,0.00065756708091,200
27.068367,0.2309871826,1000
27.068367,undefined,5000
27.068367,undefined,25000
27.169388,3.1832314562e-12,50
27.169388,0.0006225074394,200
27.169388,0.22846978821,1000
27.169388,undefined,5000
27.169388,undefined,25000
27.270408,1.5916157281e-12,50
27.270408,0.00058919682363,200
27.270408,0.22597060501,1000
27.270408,undefined,5000
27.270408,undefined,25000
27.371429,1.5916157281e-12,50
27.371429,0.00055755483925,200
27.371429,0.22348963665,1000
27.371429,undefined,5000
27.371429,undefined,25000
27.472449,1.8189894035e-12,50
27.472449,0.00052750446287,200
27.472449,0.22102688471,1000
27.472449,undefined,5000
27.472449,undefined,25000
27.573469,1.5916157281e-12,50
27.573469,0.00049897189626,200
27.573469,0.2185823483,1000
27.573469,undefined,5000
27.573469,undefined,25000
27.67449,8.185452316e-12,50
27.67449,0.0004718862923,200
27.67449,0.21615602444,1000
27.67449,undefined,5000
27.67449,undefined,25000
27.77551,9.0949470177e-13,50
27.77551,0.00044617988556,200
27.77551,0.21374790795,1000
27.77551,undefined,5000
27.77551,undefined,25000
27.876531,3.5242919694e-12,50
27.876531,0.00042178779552,200
27.876531,0.21135799153,1000
27.876531,undefined,5000
27.876531,undefined,25000
27.977551,4.888534022e-12,50
27.977551,0.00039864777705,200
27.977551,0.20898626568,1000
27.977551,undefined,5000
27.977551,undefined,25000
28.078571,4.2064129957e-12,50
28.078571,0.00037670037705,200
28.078571,0.20663271883,1000
28.078571,undefined,5000
28.078571,undefined,25000
28.179592,5.6843418861e-12,50
28.179592,0.00035588862204,200
28.179592,0.20429733727,1000
28.179592,undefined,5000
28.179592,undefined,25000
28.280612,2.842170943e-12,50
28.280612,0.00033615810003,200
28.280612,0.20198010532,1000
28.280612,undefined,5000
28.280612,undefined,25000
28.381633,3.5242919694e-12,50
28.381633,0.00031745657691,200
28.381633,0.1996810052,1000
28.381633,undefined,5000
28.381633,undefined,25000
28.482653,7.2759576142e-12,50
28.482653,0.00029973434914,200
28.482653,0.19740001715,1000
28.482653,undefined,5000
28.482653,undefined,25000
28.583673,9.0949470177e-13,50
28.583673,0.00028294367701,200
28.583673,0.19513711944,1000
28.583673,undefined,5000
28.583673,undefined,25000
28.684694,3.2969182939e-12,50
28.684694,0.00026703914739,200
28.684694,0.19289228838,1000
28.684694,undefined,5000
28.684694,undefined,25000
28.785714,7.9580786405e-13,50
28.785714,0.00025197714319,200
28.785714,0.19066549831,1000
28.785714,undefined,5000
28.785714,undefined,25000
28.886735,5.6843418861e-13,50
28.886735,0.00023771616588,200
28.886735,0.18845672179,1000
28.886735,undefined,5000
28.886735,undefined,25000
28.987755,2.5011104299e-12,50
28.987755,0.00022421654364,200
28.987755,0.18626592929,1000
28.987755,undefined,5000
28.987755,undefined,25000
29.088776,3.7516656448e-12,50
29.088776,0.00021144043023,200
29.088776,0.1840930896,1000
29.088776,undefined,5000
29.088776,undefined,25000
29.189796,4.3200998334e-12,50
29.189796,0.00019935157115,200
29.189796,0.18193816974,1000
29.189796,undefined,5000
29.189796,undefined,25000
29.290816,8.0717654782e-12,50
29.290816,0.00018791551975,200
29.290816,0.17980113476,1000
29.290816,undefined,5000
29.290816,undefined,25000
29.391837,2.2737367544e-13,50
29.391837,0.00017709941881,200
29.391837,0.17768194808,1000
29.391837,undefined,5000
29.391837,undefined,25000
29.492857,3.7516656448e-12,50
29.492857,0.00016687176924,200
29.492857,0.17558057126,1000
29.492857,undefined,5000
29.492857,undefined,25000
29.593878,8.7538865046e-12,50
29.593878,0.00015720265856,200
29.593878,0.17349696427,1000
29.593878,undefined,5000
29.593878,undefined,25000
29.694898,9.8907548818e-12,50
29.694898,0.00014806362219,200
29.694898,0.17143108533,1000
29.694898,undefined,5000
29.694898,undefined,25000
29.795918,1.4779288904e-12,50
29.795918,0.00013942742476,200
29.795918,0.16938289093,1000
29.795918,undefined,5000
29.795918,undefined,25000
29.896939,4.4337866711e-12,50
29.896939,0.00013126812405,200
29.896939,0.16735233607,1000
29.896939,undefined,5000
29.896939,undefined,25000
29.997959,4.5474735089e-13,50
29.997959,0.00012356114075,200
29.997959,0.16533937405,1000
29.997959,undefined,5000
29.997959,undefined,25000
30.09898,5.6843418861e-13,50
30.09898,0.00011628289042,200
30.09898,0.16334395657,1000
30.09898,undefined,5000
30.09898,undefined,25000
30.2,3.8653524825e-12,50
30.2,0.00010941104927,200
30.2,0.16136603386,1000
30.2,undefined,5000
30.2,undefined,25000
30.30102,2.2737367544e-12,50
30.30102,0.00010292422485,200
30.30102,0.15940555455,1000
30.30102,undefined,5000
30.30102,undefined,25000
30.402041,1.1368683772e-13,50
30.402041,0.000096802312669,200
30.402041,0.15746246578,1000
30.402041,undefined,5000
30.402041,undefined,25000
30.503061,4.888534022e-12,50
30.503061,0.000091025926736,200
30.503061,0.15553671327,1000
30.503061,undefined,5000
30.503061,undefined,25000
30.604082,5.6843418861e-12,50
30.604082,0.000085576753804,200
30.604082,0.15362824125,1000
30.604082,undefined,5000
30.604082,undefined,25000
30.705102,6.7075234256e-12,50
30.705102,0.00008043737148,200
30.705102,0.1517369925,1000
30.705102,undefined,5000
30.705102,undefined,25000
30.806122,3.0695446185e-12,50
30.806122,0.000075591195923,200
30.806122,0.1498629085,1000
30.806122,undefined,5000
30.806122,undefined,25000
30.907143,3.6379788071e-12,50
30.907143,0.000071022493898,200
30.907143,0.14800592926,1000
30.907143,undefined,5000
30.907143,undefined,25000
31.008163,8.2991391537e-12,50
31.008163,0.000066716332299,200
31.008163,0.1461659935,1000
31.008163,undefined,5000
31.008163,undefined,25000
31.109184,5.1159076975e-12,50
31.109184,0.000062658448769,200
31.109184,0.14434303859,1000
31.109184,undefined,5000
31.109184,undefined,25000
31.210204,8.98126018e-12,50
31.210204,0.000058835384039,200
31.210204,0.14253700074,1000
31.210204,undefined,5000
31.210204,undefined,25000
31.311224,4.4337866711e-12,50
31.311224,0.000055234312185,200
31.311224,0.14074781471,1000
31.311224,undefined,5000
31.311224,undefined,25000
31.412245,6.3664629124e-12,50
31.412245,0.000051843019719,200
31.412245,0.13897541414,1000
31.412245,undefined,5000
31.412245,undefined,25000
31.513265,3.7516656448e-12,50
31.513265,0.000048650028589,200
31.513265,0.13721973148,1000
31.513265,undefined,5000
31.513265,undefined,25000
31.614286,1.1368683772e-12,50
31.614286,0.000045644387569,200
31.614286,0.13548069795,1000
31.614286,undefined,5000
31.614286,undefined,25000
31.715306,2.1600499167e-12,50
31.715306,0.000042815691813,200
31.715306,0.1337582436,1000
31.715306,undefined,5000
31.715306,undefined,25000
31.816327,8.0717654782e-12,50
31.816327,0.000040154137878,200
31.816327,0.13205229735,1000
31.816327,undefined,5000
31.816327,undefined,25000
31.917347,8.7538865046e-12,50
31.917347,0.000037650319655,200
31.917347,0.1303627871,1000
31.917347,undefined,5000
31.917347,undefined,25000
32.018367,6.5938365879e-12,50
32.018367,0.000035295392081,200
32.018367,0.12868963957,1000
32.018367,undefined,5000
32.018367,undefined,25000
32.119388,3.1832314562e-12,50
32.119388,0.000033081094443,200
32.119388,0.12703278049,1000
32.119388,undefined,5000
32.119388,undefined,25000
32.220408,2.9558577808e-12,50
32.220408,0.000030999292221,200
32.220408,0.12539213453,1000
32.220408,undefined,5000
32.220408,undefined,25000
32.321429,2.2737367544e-13,50
32.321429,0.000029042605092,200
32.321429,0.12376762541,1000
32.321429,undefined,5000
32.321429,undefined,25000
32.422449,5.0022208598e-12,50
32.422449,0.000027203895115,200
32.422449,0.12215917579,1000
32.422449,undefined,5000
32.422449,undefined,25000
32.523469,3.4106051316e-12,50
32.523469,0.000025476369274,200
32.523469,0.12056670744,1000
32.523469,undefined,5000
32.523469,undefined,25000
32.62449,1.1823431123e-11,50
32.62449,0.000023853668381,200
32.62449,0.1189901412,1000
32.62449,undefined,5000
32.62449,undefined,25000
32.72551,5.2295945352e-12,50
32.72551,0.000022329774538,200
32.72551,0.11742939693,1000
32.72551,undefined,5000
32.72551,undefined,25000
32.826531,8.8675733423e-12,50
32.826531,0.000020898989078,200
32.826531,0.11588439378,1000
32.826531,undefined,5000
32.826531,undefined,25000
32.927551,5.2295945352e-12,50
32.927551,0.000019555886638,200
32.927551,0.11435504993,1000
32.927551,undefined,5000
32.927551,undefined,25000
33.028571,2.2737367544e-12,50
33.028571,0.000018295314931,200
33.028571,0.11284128272,1000
33.028571,undefined,5000
33.028571,undefined,25000
33.129592,2.9558577808e-12,50
33.129592,0.000017112547539,200
33.129592,0.11134300867,1000
33.129592,undefined,5000
33.129592,undefined,25000
33.230612,2.5011104299e-12,50
33.230612,0.000016002991742,200
33.230612,0.10986014373,1000
33.230612,undefined,5000
33.230612,undefined,25000
33.331633,4.092726158e-12,50
33.331633,0.000014962312889,200
33.331633,0.10839260277,1000
33.331633,undefined,5000
33.331633,undefined,25000
33.432653,2.5011104299e-12,50
33.432653,0.000013986435079,200
33.432653,0.10694030018,1000
33.432653,undefined,5000
33.432653,undefined,25000
33.533673,3.1832314562e-12,50
33.533673,0.00001307157504,200
33.533673,0.10550314952,1000
33.533673,undefined,5000
33.533673,undefined,25000
33.634694,7.5033312896e-12,50
33.634694,0.000012214038861,200
33.634694,0.10408106381,1000
33.634694,undefined,5000
33.634694,undefined,25000
33.735714,6.3664629124e-12,50
33.735714,0.000011410411162,200
33.735714,0.10267395515,1000
33.735714,undefined,5000
33.735714,undefined,25000
33.836735,4.5474735089e-13,50
33.836735,0.000010657511666,200
33.836735,0.10128173525,1000
33.836735,undefined,5000
33.836735,undefined,25000
33.937755,1.5916157281e-12,50
33.937755,0.0000099522703749,200
33.937755,0.099904315116,1000
33.937755,undefined,5000
33.937755,undefined,25000
34.038776,4.7748471843e-12,50
34.038776,0.0000092917821348,200
34.038776,0.098541605113,1000
34.038776,undefined,5000
34.038776,undefined,25000
34.139796,1.3642420527e-11,50
34.139796,0.0000086733248281,200
34.139796,0.097193515119,1000
34.139796,undefined,5000
34.139796,undefined,25000
34.240816,8.185452316e-12,50
34.240816,0.0000080944594174,200
34.240816,0.095859954432,1000
34.240816,undefined,5000
34.240816,undefined,25000
34.341837,8.4128259914e-12,50
34.341837,0.0000075526056662,200
34.341837,0.094540831805,1000
34.341837,undefined,5000
34.341837,undefined,25000
34.442857,2.5011104299e-12,50
34.442857,0.0000070456094363,200
34.442857,0.093236055532,1000
34.442857,undefined,5000
34.442857,undefined,25000
34.543878,2.5011104299e-12,50
34.543878,0.0000065713431923,200
34.543878,0.091945533343,1000
34.543878,undefined,5000
34.543878,undefined,25000
34.644898,7.2759576142e-12,50
34.644898,0.0000061277601162,200
34.644898,0.09066917266,1000
34.644898,undefined,5000
34.644898,undefined,25000
34.745918,1.3642420527e-12,50
34.745918,0.0000057128524986,200
34.745918,0.089406880318,1000
34.745918,undefined,5000
34.745918,undefined,25000
34.846939,2.046363079e-12,50
34.846939,0.0000053250498695,200
34.846939,0.088158562831,1000
34.846939,undefined,5000
34.846939,undefined,25000
34.947959,7.0485839387e-12,50
34.947959,0.0000049625107295,200
34.947959,0.086924126252,1000
34.947959,undefined,5000
34.947959,undefined,25000
35.04898,1.000444172e-11,50
35.04898,0.00000462372941,200
35.04898,0.085703476281,1000
35.04898,undefined,5000
35.04898,undefined,25000
35.15,5.9117155615e-12,50
35.15,0.0000043071938762,200
35.15,0.084496518225,1000
35.15,undefined,5000
35.15,undefined,25000
35.25102,4.092726158e-12,50
35.25102,0.0000040114916828,200
35.25102,0.083303157249,1000
35.25102,undefined,5000
35.25102,undefined,25000
35.352041,2.2737367544e-13,50
35.352041,0.0000037353572679,200
35.352041,0.082123297908,1000
35.352041,undefined,5000
35.352041,undefined,25000
35.453061,4.3200998334e-12,50
35.453061,0.0000034775077893,200
35.453061,0.080956844678,1000
35.453061,undefined,5000
35.453061,undefined,25000
35.554082,1.3642420527e-12,50
35.554082,0.0000032368393477,200
35.554082,0.079803701656,1000
35.554082,undefined,5000
35.554082,undefined,25000
35.655102,8.185452316e-12,50
35.655102,0.0000030121320833,200
35.655102,0.078663772819,1000
35.655102,undefined,5000
35.655102,undefined,25000
35.756122,5.0022208598e-12,50
35.756122,0.0000028024692256,200
35.756122,0.077536961674,1000
35.756122,undefined,5000
35.756122,undefined,25000
35.857143,4.5474735089e-13,50
35.857143,0.0000026069021715,200
35.857143,0.076423171746,1000
35.857143,undefined,5000
35.857143,undefined,25000
35.958163,0,50
35.958163,0.00000242445617,200
35.958163,0.075322306271,1000
35.958163,undefined,5000
35.958163,undefined,25000
36.059184,3.8653524825e-12,50
36.059184,0.0000022543576961,200
36.059184,0.074234268273,1000
36.059184,undefined,5000
36.059184,undefined,25000
36.160204,3.8653524825e-12,50
36.160204,0.0000020957213565,200
36.160204,0.073158960578,1000
36.160204,undefined,5000
36.160204,undefined,25000
36.261224,1.5916157281e-12,50
36.261224,0.0000019478982267,200
36.261224,0.072096286075,1000
36.261224,undefined,5000
36.261224,undefined,25000
36.362245,1.8189894035e-12,50
36.362245,0.0000018100881789,200
36.362245,0.071046147285,1000
36.362245,undefined,5000
36.362245,undefined,25000
36.463265,6.8212102633e-13,50
36.463265,0.0000016817252799,200
36.463265,0.070008446744,1000
36.463265,undefined,5000
36.463265,undefined,25000
36.564286,1.3642420527e-12,50
36.564286,0.0000015621417333,200
36.564286,0.068983086885,1000
36.564286,undefined,5000
36.564286,undefined,25000
36.665306,3.1832314562e-12,50
36.665306,0.0000014507379547,200
36.665306,0.067969970057,1000
36.665306,undefined,5000
36.665306,undefined,25000
36.766327,7.2759576142e-12,50
36.766327,0.0000013470034901,200
36.766327,0.066968998553,1000
36.766327,undefined,5000
36.766327,undefined,25000
36.867347,8.6401996668e-12,50
36.867347,0.0000012504781353,200
36.867347,0.06598007463,1000
36.867347,undefined,5000
36.867347,undefined,25000
36.968367,5.2295945352e-12,50
36.968367,0.0000011605852706,200
36.968367,0.065003100543,1000
36.968367,undefined,5000
36.968367,undefined,25000
37.069388,6.8212102633e-13,50
37.069388,0.0000010769238088,200
37.069388,0.064037978494,1000
37.069388,undefined,5000
37.069388,undefined,25000
37.170408,3.6379788071e-12,50
37.170408,9.9911608231e-7,200
37.170408,0.06308461075,1000
37.170408,undefined,5000
37.170408,undefined,25000
37.271429,1.3642420527e-12,50
37.271429,9.2678715191e-7,200
37.271429,0.062142899513,1000
37.271429,undefined,5000
37.271429,undefined,25000
37.372449,1.8189894035e-12,50
37.372449,8.5943111117e-7,200
37.372449,0.061212747125,1000
37.372449,undefined,5000
37.372449,undefined,25000
37.473469,9.0949470177e-13,50
37.473469,7.968301361e-7,200
37.473469,0.060294055927,1000
37.473469,undefined,5000
37.473469,undefined,25000
37.57449,1.4097167877e-11,50
37.57449,7.3867840911e-7,200
37.57449,0.059386728376,1000
37.57449,undefined,5000
37.57449,undefined,25000
37.67551,5.0022208598e-12,50
37.67551,6.8458007263e-7,200
37.67551,0.058490666956,1000
37.67551,undefined,5000
37.67551,undefined,25000
37.776531,1.4324541553e-11,50
37.776531,6.3434322328e-7,200
37.776531,0.057605774284,1000
37.776531,undefined,5000
37.776531,undefined,25000
37.877551,6.8212102633e-12,50
37.877551,5.8767568589e-7,200
37.877551,0.056731953111,1000
37.877551,undefined,5000
37.877551,undefined,25000
37.978571,2.046363079e-12,50
37.978571,5.4432734942e-7,200
37.978571,0.055869106229,1000
37.978571,undefined,5000
37.978571,undefined,25000
38.079592,1.1596057448e-11,50
38.079592,5.0408038987e-7,200
38.079592,0.055017136697,1000
38.079592,undefined,5000
38.079592,undefined,25000
38.180612,2.2737367544e-13,50
38.180612,4.6667310016e-7,200
38.180612,0.054175947638,1000
38.180612,undefined,5000
38.180612,undefined,25000
38.281633,5.4569682106e-12,50
38.281633,4.3199065658e-7,200
38.281633,0.05334544236,1000
38.281633,undefined,5000
38.281633,undefined,25000
38.382653,6.3664629124e-12,50
38.382653,3.9979136091e-7,200
38.382653,0.052525524378,1000
38.382653,undefined,5000
38.382653,undefined,25000
38.483673,1.1368683772e-12,50
38.483673,3.6992719288e-7,200
38.483673,0.051716097466,1000
38.483673,undefined,5000
38.483673,undefined,25000
38.584694,4.092726158e-12,50
38.584694,3.4226354728e-7,200
38.584694,0.050917065403,1000
38.584694,undefined,5000
38.584694,undefined,25000
38.685714,5.9117155615e-12,50
38.685714,3.1654622035e-7,200
38.685714,0.050128332349,1000
38.685714,undefined,5000
38.685714,undefined,25000
38.786735,2.7284841053e-12,50
38.786735,2.9270790947e-7,200
38.786735,0.049349802666,1000
38.786735,undefined,5000
38.786735,undefined,25000
38.887755,1.8189894035e-12,50
38.887755,2.7060400498e-7,200
38.887755,0.048581381037,1000
38.887755,undefined,5000
38.887755,undefined,25000
38.988776,9.0949470177e-13,50
38.988776,2.5015106075e-7,200
38.988776,0.047822972132,1000
38.988776,undefined,5000
38.988776,undefined,25000
39.089796,6.8212102633e-13,50
39.089796,2.311796834e-7,200
39.089796,0.047074481265,1000
39.089796,undefined,5000
39.089796,undefined,25000
39.190816,1.1141310097e-11,50
39.190816,2.1359187485e-7,200
39.190816,0.046335813731,1000
39.190816,undefined,5000
39.190816,undefined,25000
39.291837,1.8189894035e-12,50
39.291837,1.9731555767e-7,200
39.291837,0.045606875186,1000
39.291837,undefined,5000
39.291837,undefined,25000
39.392857,6.8212102633e-12,50
39.392857,1.8224454834e-7,200
39.392857,0.04488757172,1000
39.392857,undefined,5000
39.392857,undefined,25000
39.493878,5.4569682106e-12,50
39.493878,1.6825447346e-7,200
39.493878,0.044177809603,1000
39.493878,undefined,5000
39.493878,undefined,25000
39.594898,6.5938365879e-12,50
39.594898,1.5533169062e-7,200
39.594898,0.043477495398,1000
39.594898,undefined,5000
39.594898,undefined,25000
39.695918,2.2737367544e-12,50
39.695918,1.4336751519e-7,200
39.695918,0.04278653609,1000
39.695918,undefined,5000
39.695918,undefined,25000
39.796939,1.3642420527e-12,50
39.796939,1.3230533114e-7,200
39.796939,0.042104838926,1000
39.796939,undefined,5000
39.796939,undefined,25000
39.897959,2.046363079e-12,50
39.897959,1.2208374756e-7,200
39.897959,0.041432311695,1000
39.897959,undefined,5000
39.897959,undefined,25000
39.99898,9.0949470177e-13,50
39.99898,1.1262454791e-7,200
39.99898,0.040768862213,1000
39.99898,undefined,5000
39.99898,undefined,25000
40.1,2.2737367544e-13,50
40.1,1.0384792404e-7,200
40.1,0.04011439895,1000
40.1,undefined,5000
40.1,undefined,25000
40.20102,0,50
40.20102,9.5775703812e-8,200
40.20102,0.03946883068,1000
40.20102,undefined,5000
40.20102,undefined,25000
40.302041,0,50
40.302041,8.8277374743e-8,200
40.302041,0.038832066395,1000
40.302041,undefined,5000
40.302041,undefined,25000
40.403061,1.2732925825e-11,50
40.403061,8.1372490968e-8,200
40.403061,0.038204015717,1000
40.403061,undefined,5000
40.403061,undefined,25000
40.504082,5.2295945352e-12,50
40.504082,7.5002390076e-8,200
40.504082,0.037584588591,1000
40.504082,undefined,5000
40.504082,undefined,25000
40.605102,2.046363079e-12,50
40.605102,6.9145926318e-8,200
40.605102,0.036973695373,1000
40.605102,undefined,5000
40.605102,undefined,25000
40.706122,1.1368683772e-12,50
40.706122,6.3680545281e-8,200
40.706122,0.03637124677,1000
40.706122,undefined,5000
40.706122,undefined,25000
40.807143,3.8653524825e-12,50
40.807143,5.8604427977e-8,200
40.807143,0.035777153918,1000
40.807143,undefined,5000
40.807143,undefined,25000
40.908163,1.000444172e-11,50
40.908163,5.3994426708e-8,200
40.908163,0.035191328531,1000
40.908163,undefined,5000
40.908163,undefined,25000
41.009184,3.6379788071e-12,50
41.009184,4.9692516768e-8,200
41.009184,0.034613682629,1000
41.009184,undefined,5000
41.009184,undefined,25000
41.110204,8.6401996668e-12,50
41.110204,4.5727119868e-8,200
41.110204,0.034044128754,1000
