lambda,u4n_ed,eta
0.5,-69.399782154,50
0.5,-269.35145221,200
0.5,-669.34382631,500
0.505,-16.001303991,10
0.505,-68.033088578,50
0.505,-264.04435956,200
0.505,-656.15518713,500
0.51,-15.692194208,10
0.51,-66.706393672,50
0.51,-258.89259139,200
0.51,-643.35254446,500
0.515,-15.392024492,10
0.515,-65.418151649,50
0.515,-253.89014508,200
0.515,-630.92098117,500
0.52,-15.100452519,10
0.52,-64.166890678,50
0.52,-249.03130516,200
0.52,-618.84629379,500
0.525,-14.817152188,10
0.525,-62.951208678,50
0.525,-244.31062706,200
0.525,-607.11495202,500
0.53,-14.541812709,10
0.53,-61.769769394,50
0.53,-239.72292178,200
0.53,-595.71406072,500
0.535,-14.274137749,10
0.535,-60.621298716,50
0.535,-235.2632417,200
0.535,-584.63132451,500
0.54,-14.013844631,10
0.54,-59.50458125,50
0.54,-230.92686715,200
0.54,-573.8550146,500
0.545,-13.760663585,10
0.545,-58.418457095,50
0.545,-226.70929398,200
0.545,-563.37393772,500
0.55,-13.514337052,10
0.55,-57.361818831,50
0.55,-222.60622184,200
0.55,-553.17740708,500
0.555,-13.274619021,10
0.555,-56.333608697,50
0.555,-218.6135432,200
0.555,-543.2552151,500
0.56,-13.041274416,10
0.56,-55.332815944,50
0.56,-214.7273331,200
0.56,-533.59760783,500
0.565,-12.81407852,10
0.565,-54.358474344,50
0.565,-210.94383947,200
0.565,-524.19526101,500
0.57,-12.592816426,10
0.57,-53.409659862,50
0.57,-207.25947406,200
0.57,-515.03925753,500
0.575,-12.377282534,10
0.575,-52.485488465,50
0.575,-203.67080399,200
0.575,-506.1210663,500
0.58,-12.16728007,10
0.58,-51.585114056,50
0.58,-200.17454366,200
0.58,-497.43252234,500
0.585,-11.962620632,10
0.585,-50.707726545,50
0.585,-196.76754733,200
0.585,-488.96580811,500
0.59,-11.76312377,10
0.59,-49.852550019,50
0.59,-193.44680193,200
0.59,-480.71343591,500
0.595,-11.568616584,10
0.595,-49.01884103,50
0.595,-190.20942051,200
0.595,-472.66823133,500
0.6,-11.37893335,10
0.6,-48.205886977,50
0.6,-187.05263587,200
0.6,-464.82331764,500
0.605,-11.193915166,10
0.605,-47.413004582,50
0.605,-183.9737947,200
0.605,-457.17210108,500
0.61,-11.013409616,10
0.61,-46.639538458,50
0.61,-180.97035197,200
0.61,-449.70825704,500
0.615,-10.837270455,10
0.615,-45.884859747,50
0.615,-178.03986569,200
0.615,-442.42571692,500
0.62,-10.665357314,10
0.62,-45.14836485,50
0.62,-175.17999196,200
0.62,-435.31865587,500
0.625,-10.497535417,10
0.625,-44.429474211,50
0.625,-172.38848022,200
0.625,-428.38148108,500
0.63,-10.333675315,10
0.63,-43.727631183,50
0.63,-169.66316889,200
0.63,-421.6088208,500
0.635,-10.173652637,10
0.635,-43.042300947,50
0.635,-167.00198116,200
0.635,-414.99551391,500
0.64,-10.017347855,10
0.64,-42.372969493,50
0.64,-164.402921,200
0.64,-408.53660012,500
0.645,-9.8646460539,10
0.645,-41.719142658,50
0.645,-161.86406946,200
0.645,-402.22731067,500
0.65,-9.7154367238,10
0.65,-41.080345208,50
0.65,-159.38358112,200
0.65,-396.06305947,500
0.655,-9.569613558,10
0.655,-40.456119983,50
0.655,-156.95968071,200
0.655,-390.03943483,500
0.66,-9.4270742624,10
0.66,-39.846027072,50
0.66,-154.59065996,200
0.66,-384.15219152,500
0.665,-9.2877203752,10
0.665,-39.249643037,50
0.665,-152.27487457,200
0.665,-378.39724329,500
0.67,-9.1514570962,10
0.67,-38.666560185,50
0.67,-150.01074137,200
0.67,-372.77065582,500
0.675,-9.0181931242,10
0.675,-38.096385864,50
0.675,-147.79673561,200
0.675,-367.26863995,500
0.68,-8.8878405037,10
0.68,-37.538741806,50
0.68,-145.63138838,200
0.68,-361.88754531,500
0.685,-8.7603144788,10
0.685,-36.993263495,50
0.685,-143.5132842,200
0.685,-356.62385427,500
0.69,-8.6355333544,10
0.69,-36.459599578,50
0.69,-141.44105868,200
0.69,-351.47417619,500
0.695,-8.5134183647,10
0.695,-35.937411292,50
0.695,-139.41339632,200
0.695,-346.43524195,500
0.7,-8.393893548,10
0.7,-35.42637193,50
0.7,-137.42902845,200
0.7,-341.50389876,500
0.705,-8.276885628,10
0.705,-34.926166331,50
0.705,-135.48673122,200
0.705,-336.67710525,500
0.71,-8.1623239007,10
0.71,-34.43649039,50
0.71,-133.58532373,200
0.71,-331.95192676,500
0.715,-8.0501401264,10
0.715,-33.957050597,50
0.715,-131.72366622,200
0.715,-327.32553085,500
0.72,-7.9402684282,10
0.72,-33.4875636,50
0.72,-129.90065836,200
0.72,-322.79518313,500
0.725,-7.832645194,10
0.725,-33.027755784,50
0.725,-128.11523764,200
0.725,-318.35824315,500
0.73,-7.7272089837,10
0.73,-32.57736287,50
0.73,-126.36637781,200
0.73,-314.01216058,500
0.735,-7.6239004412,10
0.735,-32.136129538,50
0.735,-124.65308741,200
0.735,-309.75447152,500
0.74,-7.5226622099,10
0.74,-31.703809067,50
0.74,-122.97440836,200
0.74,-305.58279507,500
0.745,-7.4234388527,10
0.745,-31.280162984,50
0.745,-121.32941461,200
0.745,-301.49482992,500
0.75,-7.3261767754,10
0.75,-30.86496074,50
0.75,-119.7172109,200
0.75,-297.48835122,500
0.755,-7.2308241534,10
0.755,-30.457979396,50
0.755,-118.13693149,200
0.755,-293.56120756,500
0.76,-7.1373308627,10
0.76,-30.059003319,50
0.76,-116.58773905,200
0.76,-289.71131807,500
0.765,-7.0456484129,10
0.765,-29.667823904,50
0.765,-115.06882349,200
0.765,-285.93666963,500
0.77,-6.9557298839,10
0.77,-29.284239293,50
0.77,-113.57940098,200
0.77,-282.23531429,500
0.775,-6.8675298655,10
0.775,-28.908054121,50
0.775,-112.11871285,200
0.775,-278.60536673,500
0.78,-6.7810043993,10
0.78,-28.539079262,50
0.78,-110.68602469,200
0.78,-275.04500187,500
0.785,-6.6961109234,10
0.785,-28.177131598,50
0.785,-109.28062541,200
0.785,-271.55245255,500
0.79,-6.6128082198,10
0.79,-27.822033783,50
0.79,-107.90182634,200
0.79,-268.12600738,500
0.795,-6.5310563633,10
0.795,-27.473614034,50
0.795,-106.5489604,200
0.795,-264.76400859,500
0.8,-6.450816674,10
0.8,-27.131705917,50
0.8,-105.2213813,200
0.8,-261.46485006,500
