g,u4_omega50,u4_omega200,u4_omega1000
95.36454849,0.5836820999,0.1502608337,0.0008186745
95.69565217,0.5842011788,0.1513595706,0.0008296992
96.02675585,0.5847155662,0.1524588080,0.0008408308
96.35785953,0.5852253167,0.1535585923,0.0008520699
96.68896321,0.5857304845,0.1546588486,0.0008634172
97.02006689,0.5862311230,0.1557595393,0.0008748731
97.35117057,0.5867272845,0.1568604469,0.0008864383
97.68227425,0.5872190208,0.1579620700,0.0008981135
98.01337793,0.5877063831,0.1590638276,0.0009098991
98.34448161,0.5881894214,0.1601658642,0.0009217959
98.67558528,0.5886681853,0.1612682159,0.0009338045
99.00668896,0.5891427238,0.1623706159,0.0009459255
99.33779264,0.5896130848,0.1634732551,0.0009581594
99.66889632,0.5900793159,0.1645760199,0.0009705068
100.00000000,0.5905414638,0.1656788732,0.0009829686
