lambda,sx_omega50,sx2_omega50,sx4_omega50,u4_omega50,order_omega50,sx_omega200,sx2_omega200,sx4_omega200,u4_omega200,order_omega200,sx_omega1000,sx2_omega1000,sx4_omega1000,u4_omega1000,order_omega1000
0.050000,0.9999774599,0.9999549427,0.9999099770,0.6666666368,95.914567,0.9999937083,0.9999874186,0.9999748447,0.6666666642,96.722583,0.9999988661,0.9999977322,0.9999954646,0.6666666666,96.502108
0.100000,0.9998984775,0.9997970895,0.9995947155,0.6666665015,97.024125,0.9999775536,0.9999551144,0.9999102574,0.6666666578,97.136783,0.9999947957,0.9999895919,0.9999791853,0.6666666662,95.857492
0.200000,0.9996255483,0.9992516927,0.9985057647,0.6666660593,96.238883,0.9998919699,0.9997839851,0.9995681508,0.6666666220,96.908642,0.9999789731,0.9999579480,0.9999159032,0.6666666649,97.312092
0.300000,0.9991468303,0.9982953956,0.9965977115,0.6666653239,97.428558,0.9997892111,0.9995785272,0.9991574738,0.6666665860,97.259325,0.9999545158,0.9999090364,0.9998180923,0.6666666630,96.878300
0.400000,0.9984331778,0.9968707961,0.9937592868,0.6666640159,97.080700,0.9995972030,0.9991946906,0.9983905185,0.6666665035,99.680117,0.9999197975,0.9998396066,0.9996792593,0.6666666599,98.663708
0.450000,0.9980743941,0.9961550326,0.9923349345,0.6666632788,99.153567,0.9994858497,0.9989721199,0.9979459198,0.6666664584,99.840592,0.9999007811,0.9998015781,0.9996032196,0.6666666586,98.216158
0.500000,0.9975071555,0.9950238265,0.9900855298,0.6666622513,99.143792,0.9993937855,0.9987881246,0.9975784614,0.6666664182,99.867217,0.9998773553,0.9997547337,0.9995095593,0.6666666561,99.032975
0.550000,0.9970711912,0.9941545472,0.9883575022,0.6666618646,100.149367,0.9992052347,0.9984113689,0.9968263304,0.6666663092,101.062775,0.9998483001,0.9996966334,0.9993933992,0.6666666532,99.481342
0.600000,0.9965477137,0.9931115062,0.9862869610,0.6666610910,102.754333,0.9991158827,0.9982328027,0.9964697483,0.6666663255,101.697567,0.9998219667,0.9996439764,0.9992881247,0.6666666516,101.202267
0.700000,0.9953689241,0.9907649448,0.9816375233,0.6666590780,102.918800,0.9987772142,0.9975563037,0.9951200948,0.6666661589,104.136658,0.9997545591,0.9995091929,0.9990186847,0.6666666473,104.758592
0.800000,0.9939686745,0.9879813605,0.9761372811,0.6666563835,104.958792,0.9984196235,0.9968422517,0.9936964958,0.6666659887,106.131983,0.9996799151,0.9993599536,0.9987204007,0.6666666387,105.120717
0.900000,0.9923198114,0.9847075767,0.9696842703,0.6666545459,108.010275,0.9980210741,0.9960466693,0.9921113765,0.6666658573,108.418767,0.9995978230,0.9991958328,0.9983924125,0.6666666332,108.254425
1.000000,0.9906774654,0.9814532798,0.9632953536,0.6666511590,110.990083,0.9975240012,0.9950549122,0.9901373788,0.6666656229,111.703850,0.9995000440,0.9990003700,0.9980018677,0.6666666238,111.352058
1.200000,0.9863899662,0.9729811415,0.9467543746,0.6666448106,117.978408,0.9964681665,0.9929498889,0.9859537775,0.6666652144,118.599383,0.9992920173,0.9985845794,0.9971713364,0.6666666084,118.783908
1.500000,0.9786594681,0.9577984459,0.9174700129,0.6666331835,135.723325,0.9944936202,0.9890193007,0.9781660578,0.6666643219,135.667383,0.9988959843,0.9977932576,0.9955916644,0.6666665731,135.231383
2.000000,0.9622523298,0.9259719563,0.8575808991,0.6666056952,188.607817,0.9901484855,0.9803973069,0.9611917475,0.6666622041,190.295500,0.9980014749,0.9960070724,0.9920306004,0.6666664946,191.251525
2.500000,0.9417043001,0.8868718603,0.7867714825,0.6665692843,260.903250,0.9845110944,0.9692669528,0.9394972523,0.6666599869,265.308925,0.9968577323,0.9937255369,0.9874912313,0.6666664005,263.716508
3.000000,0.9168038198,0.8406316748,0.7070051969,0.6665045975,346.092158,0.9778438327,0.9561860850,0.9143205982,0.6666561780,349.572283,0.9954943585,0.9910093598,0.9821009067,0.6666662066,353.585992
4.000000,0.8569760695,0.7345536668,0.5399962533,0.6664027747,566.783742,0.9617496107,0.9249727075,0.8556129532,0.6666516890,571.072158,0.9920444895,0.9841527401,0.9685584695,0.6666660287,578.603858
5.000000,0.7838010256,0.6145676340,0.3782405706,0.6661837407,850.150000,0.9401813873,0.8839629062,0.7814676334,0.6666337280,859.124758,0.9876004906,0.9753554676,0.9513211700,0.6666656569,864.022975
6.000000,0.7044855058,0.4965315826,0.2470015463,0.6660475284,1206.994342,0.9155435699,0.8382414460,0.7027205231,0.6666326045,1209.311108,0.9822052688,0.9647284480,0.9307058315,0.6666649285,1218.693192
7.000000,0.6226216896,0.3879536195,0.1509678587,0.6656482319,1626.506308,0.8857609408,0.7845967082,0.6156681096,0.6666254515,1620.080200,0.9759834554,0.9525453574,0.9073489547,0.6666643534,1626.506708
8.000000,0.5358804890,0.2874987098,0.0830344843,0.6651383305,2107.273858,0.8533690828,0.7282754415,0.5304918316,0.6665996004,2110.546133,0.9686328384,0.9382512181,0.8803215107,0.6666643333,2120.093467
10.000000,0.3781471603,0.1433448770,0.0207506230,0.6633756457,3237.477308,0.7768778246,0.6035819514,0.3644144884,0.6665721355,3303.454025,0.9506902790,0.9038138805,0.8168863047,0.6666639025,3274.457867
15.000000,-0.1052209118,0.0113107684,0.0001390658,0.6376612625,7037.295733,0.5794514068,0.3359923446,0.1132096838,0.6657252614,7057.214942,0.8964998553,0.8037328584,0.6460540267,0.6666318264,7071.373950
