lambda,sx_omega50,sx2_omega50,sx4_omega50,u4_omega50,order_omega50,sx_omega200,sx2_omega200,sx4_omega200,u4_omega200,order_omega200,sx_omega1000,sx2_omega1000,sx4_omega1000,u4_omega1000,order_omega1000
0.550000,0.9971400085,0.9942884118,0.9886103015,0.6666663782,1594.863300,0.9992581273,0.9985168165,0.9970358790,0.6666666512,1606.436800,0.9998508442,0.9997017111,0.9994035129,0.6666666661,1621.015125
0.600000,0.9964180271,0.9928490803,0.9857500730,0.6666664040,1641.041050,0.9991353977,0.9982715592,0.9965461710,0.6666666449,1633.937725,0.9998168011,0.9996336363,0.9992674089,0.6666666660,1612.444625
0.650000,0.9959032980,0.9918236677,0.9837153333,0.6666662785,1667.217900,0.9989306424,0.9978624447,0.9957295241,0.6666666447,1654.456075,0.9997819930,0.9995640342,0.9991282615,0.6666666657,1628.040225
0.700000,0.9954236222,0.9908685367,0.9818218406,0.6666661969,1631.742675,0.9987715551,0.9975446437,0.9950954136,0.6666666341,1663.691550,0.9997582160,0.9995164914,0.9990332198,0.6666666656,1652.626025
0.750000,0.9942735082,0.9885800945,0.9772917321,0.6666662816,1705.223300,0.9986451990,0.9972922576,0.9945919433,0.6666666344,1655.278175,0.9997215906,0.9994432595,0.9988868324,0.6666666655,1677.264600
0.800000,0.9940538475,0.9881433939,0.9764287195,0.6666662049,1678.003000,0.9984054711,0.9968135178,0.9936373212,0.6666666224,1669.288350,0.9996829214,0.9993659445,0.9987322959,0.6666666650,1714.215975
0.850000,0.9932163160,0.9864790306,0.9731423779,0.6666661528,1700.913225,0.9982822757,0.9965675303,0.9931469550,0.6666666288,1691.106250,0.9996417682,0.9992836660,0.9985678502,0.6666666650,1720.722550
0.900000,0.9922152186,0.9844919368,0.9692279048,0.6666654523,1721.149650,0.9979681315,0.9959404395,0.9918975505,0.6666666023,1736.330375,0.9995914862,0.9991831406,0.9983669540,0.6666666648,1743.550925
0.950000,0.9912348637,0.9825471416,0.9654011903,0.6666658708,1751.081600,0.9977461180,0.9954973668,0.9910152097,0.6666665986,1770.275025,0.9995554558,0.9991111108,0.9982230176,0.6666666647,1762.356000
1.000000,0.9907121083,0.9815111619,0.9633668318,0.6666657425,1759.404200,0.9975225681,0.9950513255,0.9901273460,0.6666665974,1803.816075,0.9995079130,0.9990160696,0.9980331132,0.6666666647,1799.254000
1.050000,0.9891554285,0.9784294077,0.9573278074,0.6666653778,1828.532425,0.9972851128,0.9945776447,0.9891848842,0.6666666017,1820.158450,0.9994471798,0.9988946666,0.9977905608,0.6666666647,1814.682900
1.100000,0.9886228044,0.9773761698,0.9552685555,0.6666651389,1811.070450,0.9970051187,0.9940192608,0.9880745060,0.6666665941,1855.902500,0.9994169038,0.9988341496,0.9976696658,0.6666666642,1834.441325
1.150000,0.9874216021,0.9750024248,0.9506336454,0.6666652932,1856.160075,0.9967835900,0.9935775774,0.9871966090,0.6666665968,1857.708150,0.9993613080,0.9987230258,0.9974476896,0.6666666642,1856.998550
1.200000,0.9864278531,0.9730407709,0.9468116950,0.6666654861,1908.766975,0.9964125148,0.9928379635,0.9857274754,0.6666665809,1899.223125,0.9992906913,0.9985818888,0.9971658013,0.6666666625,1882.183450
1.250000,0.9849905536,0.9702072356,0.9413053582,0.6666655058,1916.669600,0.9961453126,0.9923055627,0.9846706426,0.6666665608,1923.935075,0.9992268694,0.9984543401,0.9969110835,0.6666666619,1915.299625
1.300000,0.9843321552,0.9689109284,0.9387927903,0.6666651033,1921.187225,0.9958762574,0.9917695878,0.9836071842,0.6666665755,1980.750500,0.9991748471,0.9983503773,0.9967034849,0.6666666636,1959.115950
1.350000,0.9826458262,0.9655942095,0.9323775446,0.6666647478,1969.407250,0.9956096710,0.9912386891,0.9825544246,0.6666665697,1969.364675,0.9990782883,0.9981574288,0.9963182638,0.6666666630,1977.643425
1.400000,0.9815813199,0.9635032789,0.9283439280,0.6666647422,2016.243725,0.9951581993,0.9903399001,0.9807733496,0.6666665879,2049.031950,0.9990322125,0.9980653647,0.9961344850,0.6666666624,1987.724125
1.450000,0.9800141979,0.9604295741,0.9224316734,0.6666642431,2076.293975,0.9947316130,0.9894911175,0.9790932083,0.6666664839,2108.009750,0.9989634627,0.9979280030,0.9958603121,0.6666666623,2078.338775
1.500000,0.9793390155,0.9591059114,0.9198880008,0.6666652710,2107.206400,0.9945233998,0.9890769443,0.9782738018,0.6666664622,2157.859025,0.9988696421,0.9977405674,0.9954862623,0.6666666592,2155.318850
1.550000,0.9771282319,0.9547811716,0.9116131604,0.6666644454,2226.519050,0.9939834556,0.9880032421,0.9761509281,0.6666664885,2253.012200,0.9988075434,0.9976165126,0.9952387216,0.6666666615,2239.965725
1.600000,0.9758017622,0.9521908151,0.9066739597,0.6666642361,2323.755775,0.9938166609,0.9876716411,0.9754956086,0.6666665512,2281.009225,0.9987461269,0.9974938307,0.9949939605,0.6666666605,2307.073600
1.650000,0.9745931665,0.9498339045,0.9021922894,0.6666637688,2377.882950,0.9933546037,0.9867534901,0.9736829295,0.6666665026,2408.586400,0.9986312452,0.9972643695,0.9945362449,0.6666666592,2416.748275
1.700000,0.9726726000,0.9460933182,0.8950976044,0.6666647906,2458.266725,0.9929036434,0.9858577826,0.9719161104,0.6666664805,2449.682075,0.9985756893,0.9971534126,0.9943149492,0.6666666596,2482.281475
1.750000,0.9709510540,0.9427471823,0.8887768999,0.6666649226,2573.159700,0.9926060194,0.9852668610,0.9707513837,0.6666664619,2544.333875,0.9985126622,0.9970275420,0.9940639418,0.6666666592,2532.942750
1.800000,0.9698173107,0.9405487880,0.8846439553,0.6666621704,2634.623775,0.9919303880,0.9839260449,0.9681110532,0.6666664631,2679.376425,0.9983660580,0.9967347902,0.9934802599,0.6666666607,2650.743600
1.850000,0.9675261893,0.9361085985,0.8763055620,0.6666642878,2726.873825,0.9916795340,0.9834284475,0.9671320992,0.6666664641,2715.587425,0.9983071616,0.9966171947,0.9932458562,0.6666666588,2742.390900
1.900000,0.9665935680,0.9343054315,0.8729352600,0.6666633748,2793.906100,0.9911331828,0.9823451502,0.9650026391,0.6666664438,2850.063475,0.9982190701,0.9964413194,0.9928953327,0.6666666567,2825.919975
1.950000,0.9639271012,0.9291598500,0.8633543717,0.6666603559,2903.084625,0.9908001217,0.9816850530,0.9637062179,0.6666664333,2895.169850,0.9981498085,0.9963030480,0.9926197949,0.6666666561,2904.494725
2.000000,0.9616152701,0.9247066154,0.8550922637,0.6666627921,2984.865425,0.9900330503,0.9801657134,0.9607258953,0.6666662956,3027.501550,0.9980052449,0.9960144778,0.9920448759,0.6666666546,3054.581575
2.050000,0.9610590350,0.9236385255,0.8531231319,0.6666608034,3058.036075,0.9896172858,0.9793426060,0.9591128548,0.6666663487,3142.477050,0.9979151006,0.9958345587,0.9916865109,0.6666666524,3073.508500
2.100000,0.9582061635,0.9181636124,0.8430411867,0.6666600367,3171.423575,0.9891876041,0.9784924363,0.9574487011,0.6666662304,3242.007925,0.9978207250,0.9956462077,0.9913114048,0.6666666553,3217.502975
2.150000,0.9566065500,0.9150996235,0.8374202640,0.6666615146,3345.627725,0.9890347684,0.9781900917,0.9568571029,0.6666662321,3293.371925,0.9977554790,0.9955160101,0.9910521825,0.6666666478,3307.599400
2.200000,0.9549113338,0.9118603218,0.8315063044,0.6666598284,3420.375100,0.9883747185,0.9768849182,0.9543054486,0.6666662107,3434.554475,0.9976437081,0.9952929845,0.9906081898,0.6666666449,3425.476375
2.250000,0.9540606793,0.9102365376,0.8285478745,0.6666596985,3471.372550,0.9879657319,0.9760765319,0.9527263510,0.6666663326,3499.806000,0.9976045253,0.9952148121,0.9904526143,0.6666666357,3497.669175
2.300000,0.9520667356,0.9064383459,0.8216568933,0.6666559488,3622.180425,0.9873591523,0.9748785312,0.9503898495,0.6666660708,3609.867425,0.9974519579,0.9949104287,0.9898468428,0.6666666392,3659.551125
2.350000,0.9487208342,0.9000770143,0.8101595024,0.6666580793,3728.870000,0.9868467391,0.9738673703,0.9484210993,0.6666654561,3695.668375,0.9973071685,0.9946216249,0.9892723220,0.6666666177,3702.716425
2.400000,0.9491277774,0.9008478658,0.8115424805,0.6666602577,3783.859875,0.9860615181,0.9723178026,0.9454037970,0.6666660011,3879.504850,0.9972272878,0.9944622858,0.9889553266,0.6666666368,3814.168300
2.450000,0.9459559955,0.8948438765,0.8007855468,0.6666500224,3916.951600,0.9856821771,0.9715699392,0.9439504225,0.6666658630,3893.363975,0.9971483583,0.9943048738,0.9886422827,0.6666666327,3908.025950
2.500000,0.9440500405,0.8912401701,0.7943437213,0.6666521130,4068.201925,0.9852230517,0.9706648749,0.9421919050,0.6666660986,4029.061700,0.9969850361,0.9939792028,0.9879948172,0.6666666121,4048.997025
2.550000,0.9417845830,0.8869696501,0.7867559257,0.6666493942,4081.245625,0.9848898530,0.9700091789,0.9409222967,0.6666650762,4170.935100,0.9968972167,0.9938041124,0.9876468197,0.6666665972,4216.649800
2.600000,0.9404346360,0.8844337096,0.7822812549,0.6666418365,4156.581950,0.9843813234,0.9690071896,0.9389772600,0.6666658407,4323.678750,0.9967957491,0.9936018140,0.9872447573,0.6666666016,4284.654450
2.650000,0.9368140349,0.8776346538,0.7702923355,0.6666451367,4394.634000,0.9837974823,0.9678583591,0.9367531840,0.6666654637,4354.132175,0.9966197904,0.9932510337,0.9865477236,0.6666666303,4400.633150
2.700000,0.9353301715,0.8748639692,0.7654623292,0.6666338447,4439.450275,0.9832319175,0.9667462293,0.9346030157,0.6666649747,4489.696250,0.9966034443,0.9932184773,0.9864831507,0.6666665967,4486.706000
2.750000,0.9334457022,0.8713439162,0.7593207151,0.6666313266,4541.490525,0.9824813312,0.9652710330,0.9317538397,0.6666646373,4579.023975,0.9963788295,0.9927708367,0.9855941913,0.6666665797,4689.527675
2.800000,0.9316034611,0.8679007068,0.7533064046,0.6666424305,4740.443175,0.9820653429,0.9644547437,0.9301822494,0.6666633351,4712.172025,0.9963370225,0.9926875300,0.9854288002,0.6666665760,4718.866125
2.850000,0.9289004927,0.8628828498,0.7446594606,0.6666251893,4760.649375,0.9814404593,0.9632272028,0.9278136910,0.6666641350,4847.769150,0.9961150240,0.9922451989,0.9845507643,0.6666665890,4896.590175
2.900000,0.9274534309,0.8601971002,0.7400333328,0.6666241940,4876.054350,0.9807546976,0.9618826585,0.9252293518,0.6666626665,4983.179325,0.9961582828,0.9923314221,0.9847220392,0.6666665354,4927.677525
2.950000,0.9234748594,0.8528410095,0.7274586519,0.6666112755,5093.051225,0.9806812778,0.9617382525,0.9249500360,0.6666632179,5017.242700,0.9960111580,0.9920383768,0.9841407362,0.6666664651,5131.403175
3.000000,0.9226218581,0.8512698963,0.7247932011,0.6666055968,5127.887975,0.9799515348,0.9603077978,0.9222017859,0.6666627920,5114.945725,0.9959211433,0.9918590152,0.9837846695,0.6666665435,5190.413175
