lambda,sx_omega50,sx2_omega50,sx4_omega50,u4_omega50,order_omega50,sx_omega200,sx2_omega200,sx4_omega200,u4_omega200,order_omega200,sx_omega1000,sx2_omega1000,sx4_omega1000,u4_omega1000,order_omega1000
0.050000,0.9999765280,0.9999530585,0.9999061273,0.6666666640,1509.301500,0.9999915866,0.9999831735,0.9999663480,0.6666666664,1543.327825,0.9999992997,0.9999985994,0.9999971988,0.6666666667,1541.834175
0.100000,0.9998761043,0.9997522346,0.9995045728,0.6666666526,1526.448175,0.9999686231,0.9999372479,0.9998745023,0.6666666658,1522.356375,0.9999958311,0.9999916622,0.9999833245,0.6666666667,1531.687425
0.150000,0.9997865239,0.9995731043,0.9991464346,0.6666666521,1559.562025,0.9999430078,0.9998860196,0.9997720551,0.6666666657,1542.750275,0.9999897188,0.9999794378,0.9999588762,0.6666666666,1548.534725
0.200000,0.9996021781,0.9992045368,0.9984097960,0.6666666367,1570.399450,0.9999068213,0.9998136528,0.9996273471,0.6666666644,1550.665750,0.9999839159,0.9999678320,0.9999356652,0.6666666666,1519.455050
0.250000,0.9993740696,0.9987485731,0.9974988805,0.6666666104,1572.211375,0.9998365296,0.9996730897,0.9993463012,0.6666666617,1545.372525,0.9999697767,0.9999395543,0.9998791127,0.6666666665,1551.225925
0.300000,0.9991736173,0.9983479833,0.9966989582,0.6666665789,1565.135825,0.9997738955,0.9995478478,0.9990959226,0.6666666592,1566.149425,0.9999551726,0.9999103474,0.9998207035,0.6666666665,1566.061550
0.350000,0.9987475717,0.9974968040,0.9950002412,0.6666665436,1587.924900,0.9997002338,0.9994005626,0.9988015050,0.6666666598,1566.762725,0.9999392947,0.9998785933,0.9997572022,0.6666666664,1564.489850
0.400000,0.9984169373,0.9968364767,0.9936833443,0.6666665382,1574.530125,0.9996179323,0.9992360192,0.9984726563,0.6666666552,1580.770500,0.9999193311,0.9998386690,0.9996773651,0.6666666663,1568.282225
0.450000,0.9979789310,0.9959620786,0.9919409870,0.6666664902,1597.029350,0.9995208842,0.9990420098,0.9980849847,0.6666666508,1588.937800,0.9998970864,0.9997941838,0.9995884116,0.6666666661,1599.540650
0.500000,0.9976581481,0.9953219210,0.9906662855,0.6666664785,1603.451050,0.9993745413,0.9987494819,0.9975005597,0.6666666560,1586.396100,0.9998746608,0.9997493378,0.9994987408,0.6666666659,1599.737250
