lambda,sx_omega50,sx2_omega50,sx4_omega50,u4_omega50,order_omega50,sx_omega200,sx2_omega200,sx4_omega200,u4_omega200,order_omega200,sx_omega1000,sx2_omega1000,sx4_omega1000,u4_omega1000,order_omega1000
0.050000,0.9999772198,0.9999544477,0.9999089280,0.6666666565,383.422808,0.9999950266,0.9999900535,0.9999801085,0.6666666662,382.436958,0.9999990343,0.9999980687,0.9999961375,0.6666666666,379.763967
0.100000,0.9998985224,0.9997970885,0.9995943516,0.6666666222,381.706675,0.9999740862,0.9999481756,0.9998963638,0.6666666634,384.863592,0.9999950427,0.9999900854,0.9999801712,0.6666666666,382.457642
0.200000,0.9996025810,0.9992054442,0.9984120163,0.6666665009,389.639408,0.9999050201,0.9998100567,0.9996201796,0.6666666566,387.110200,0.9999779596,0.9999559200,0.9999118433,0.6666666662,387.023725
0.300000,0.9991277543,0.9982564983,0.9965169503,0.6666663610,389.986842,0.9997802078,0.9995604810,0.9991212235,0.6666666439,393.212517,0.9999573960,0.9999147945,0.9998295988,0.6666666658,385.695325
0.400000,0.9984641191,0.9969310452,0.9938732951,0.6666660676,394.567950,0.9995978395,0.9991958738,0.9983925269,0.6666666224,395.611317,0.9999226513,0.9998453098,0.9996906481,0.6666666651,391.171650
0.450000,0.9980229813,0.9960504950,0.9921190731,0.6666658319,396.378625,0.9994964268,0.9989931437,0.9979874465,0.6666666181,399.505167,0.9998972580,0.9997945281,0.9995891052,0.6666666644,396.560208
0.500000,0.9975213160,0.9950495267,0.9901265474,0.6666656611,400.729992,0.9993876267,0.9987756758,0.9975530398,0.6666666034,403.799258,0.9998760147,0.9997520467,0.9995041628,0.6666666641,401.972250
0.550000,0.9971794435,0.9943676675,0.9887703372,0.6666655612,402.071575,0.9992538223,0.9985082594,0.9970189762,0.6666665891,405.824283,0.9998497104,0.9996994457,0.9993989909,0.6666666636,403.169458
0.600000,0.9965764985,0.9931658418,0.9863828537,0.6666651580,406.115117,0.9991071968,0.9982152613,0.9964339897,0.6666665724,403.661158,0.9998200875,0.9996402104,0.9992805625,0.6666666626,410.079100
0.700000,0.9952552882,0.9905345634,0.9811645617,0.6666646825,415.100842,0.9987857785,0.9975731248,0.9951525121,0.6666665418,417.130483,0.9997548445,0.9995097531,0.9990197625,0.6666666614,411.830683
0.800000,0.9940229706,0.9880836541,0.9763171614,0.6666639852,416.454383,0.9984148198,0.9968322674,0.9936750278,0.6666665129,422.376733,0.9996749349,0.9993499807,0.9987004049,0.6666666597,426.462542
0.900000,0.9923967720,0.9848533561,0.9699440206,0.6666639560,430.974517,0.9980256721,0.9960553935,0.9921269499,0.6666664640,436.288108,0.9995941326,0.9991884364,0.9983775572,0.6666666580,436.630308
1.000000,0.9906099858,0.9813110144,0.9629825699,0.6666627680,446.242308,0.9975571752,0.9951205180,0.9902656421,0.6666663985,445.167200,0.9995046459,0.9990095449,0.9980201019,0.6666666563,449.954542
1.200000,0.9863695609,0.9729288488,0.9466058631,0.6666612724,469.598008,0.9964301927,0.9928734063,0.9857987021,0.6666662943,474.086408,0.9992737897,0.9985481175,0.9970983860,0.6666666523,480.554675
1.500000,0.9781231606,0.9567317197,0.9153616014,0.6666571919,542.278242,0.9943052871,0.9886434564,0.9774176723,0.6666660567,546.647608,0.9988899003,0.9977810493,0.9955670878,0.6666666447,542.772208
2.000000,0.9622108379,0.9258597693,0.8572535675,0.6666521798,755.688792,0.9900122716,0.9801250724,0.9606481936,0.6666656132,770.012017,0.9980182105,0.9960403780,0.9920965520,0.6666666272,769.283600
2.500000,0.9425066049,0.8883346034,0.7891948403,0.6666428125,1030.906000,0.9847477852,0.9697292681,0.9403789941,0.6666651989,1048.005575,0.9969029886,0.9938156095,0.9876696274,0.6666666120,1046.745042
3.000000,0.9171616699,0.8412087645,0.7077103816,0.6666298321,1385.093733,0.9779904072,0.9564673191,0.9148376987,0.6666637640,1394.091850,0.9955345817,0.9910891664,0.9822579853,0.6666665820,1407.458150
4.000000,0.8582638312,0.7366468301,0.5427370395,0.6666123115,2251.152767,0.9617653401,0.9249964882,0.8556329975,0.6666610200,2293.465742,0.9921393400,0.9843405964,0.9689269076,0.6666664954,2284.483967
5.000000,0.7841963094,0.6150179595,0.3783806737,0.6665489454,3425.311575,0.9399571804,0.8835237155,0.7806290396,0.6666603111,3421.520475,0.9876656174,0.9754835859,0.9515690618,0.6666663740,3424.380533
6.000000,0.7046616309,0.4966051602,0.2467304662,0.6665128772,4794.378458,0.9135351988,0.8345546609,0.6965085101,0.6666537312,4869.459533,0.9824422410,0.9651929908,0.9315984120,0.6666663437,4815.473975
7.000000,0.6219173354,0.3869167876,0.1499169575,0.6661938311,6385.153600,0.8866478661,0.7861647109,0.6181188242,0.6666322190,6442.492725,0.9759008506,0.9523829651,0.9070351985,0.6666659734,6456.793392
8.000000,0.5434604693,0.2957644402,0.0879928037,0.6646996658,8196.475675,0.8556382357,0.7321803512,0.5362769500,0.6665492213,8224.546958,0.9694157715,0.9397693180,0.8831753441,0.6666632800,8235.118683
10.000000,0.4010515738,0.1623383482,0.0274696546,0.6525520943,12059.252800,0.7979326431,0.6369822236,0.4064998991,0.6660476050,11981.593342,0.9546643246,0.9114032838,0.8307267331,0.6666382604,12159.902950
15.000000,0.2248664558,0.0576735974,0.0053708222,0.4617730540,21164.708858,0.6742817208,0.4581418568,0.2166572976,0.6559257881,21105.597525,0.9236786538,0.8533996653,0.7290399736,0.6663238619,21154.690492
