lambda,ntilde_eta50,sigmaz_eta50,x2_eta50,u4x_eta50,gap_eta50,cv_eta50,ntilde_eta200,sigmaz_eta200,x2_eta200,u4x_eta200,gap_eta200,cv_eta200,ntilde_eta1000,sigmaz_eta1000,x2_eta1000,u4x_eta1000,gap_eta1000,cv_eta1000
0.500000,2.4075525719e-1,-9.5339889586e-1,1.0194434179e0,2.4040621165e-4,9.9004595052e-1,2.8783628136e-1,2.4761534062e-1,-9.6129160930e-1,1.0049641992e0,1.6231177895e-5,9.9750306036e-1,2.8391381622e-1,2.4951901119e-1,-9.6347601856e-1,1.0009985568e0,6.6312534464e-7,9.9950012448e-1,2.8286553656e-1
0.601020,3.4793368189e-1,-9.4869352488e-1,1.0280978067e0,4.9365300093e-4,9.8564932852e-1,2.9015444597e-1,3.5778429104e-1,-9.6007600171e-1,1.0071728475e0,3.3738766819e-5,9.9639417170e-1,2.8449629643e-1,3.6053072670e-1,-9.6323069492e-1,1.0014428174e0,1.3832078457e-6,9.9927780912e-1,2.8298218411e-1
0.702041,4.7483183860e-1,-9.4314321323e-1,1.0383434470e0,9.0129833479e-4,9.8047117138e-1,2.9288934002e-1,4.8817306844e-1,-9.5863862279e-1,1.0097868420e0,6.2485781156e-5,9.9508339120e-1,2.8518519790e-1,4.9191358399e-1,-9.6294040709e-1,1.0019686016e0,2.5723172102e-6,9.9901476207e-1,2.8312021903e-1
0.803061,6.2147560635e-1,-9.3675722325e-1,1.0501818975e0,1.5092435022e-3,9.7452403561e-1,2.9603583641e-1,6.3878338714e-1,-9.5698012484e-1,1.0128062083e0,1.0635196989e-4,9.9357151920e-1,2.8598027384e-1,6.4366764657e-1,-9.6260518206e-1,1.0025759096e0,4.3988977629e-6,9.9871101551e-1,2.8327963224e-1
0.904082,7.8789462985e-1,-9.2954619873e-1,1.0636149446e0,2.3646827973e-3,9.6782228637e-1,2.9958742690e-1,8.0961728712e-1,-9.5510125929e-1,1.0162309773e0,1.6969282747e-4,9.9185947796e-1,2.8688123001e-1,8.1579306906e-1,-9.6222505079e-1,1.0032647420e0,7.0564110538e-6,9.9836660662e-1,2.8346041315e-1
1.005102,9.7412213529e-1,-9.2152214771e-1,1.0786445895e0,3.5142846260e-3,9.6038203938e-1,3.0353597282e-1,1.0006770153e0,-9.5300287733e-1,1.0200611826e0,2.5728929822e-4,9.8994831070e-1,2.8788772068e-1,1.0082898565e0,-9.6180004876e-1,1.0040350987e0,1.0762864062e-5,9.9798157752e-1,2.8366254968e-1
1.106122,1.1801948927e0,-9.1269841870e-1,1.0952730485e0,5.0024994407e-3,9.5222109604e-1,3.0787142607e-1,1.2119650448e0,-9.5068592901e-1,1.0242968612e0,3.7429332212e-4,9.8783918055e-1,2.8899934415e-1,1.2211581392e0,-9.6133021534e-1,1.0048869801e0,1.5760286803e-5,9.9755597532e-1,2.8388602819e-1
1.207143,1.4061529058e0,-9.0308968715e-1,1.1135027305e0,6.8700626629e-3,9.4335887214e-1,3.1258152292e-1,1.4434842322e0,-9.4815146097e-1,1.0289380562e0,5.2617014573e-4,9.8553336938e-1,2.9021563770e-1,1.4543980545e0,-9.6081559410e-1,1.0058203866e0,2.2314148499e-5,9.9708985206e-1,2.8413083345e-1
1.308163,1.6520394567e0,-8.9271192891e-1,1.1333362441e0,9.1527491347e-3,9.3381632062e-1,3.1765145398e-1,1.6952376278e0,-9.4540061756e-1,1.0339848136e0,7.1863798149e-4,9.8303227647e-1,2.9153607207e-1,1.7080097232e0,-9.6025623276e-1,1.0068353186e0,3.0712719913e-5,9.9658326472e-1,2.8439694859e-1
1.409184,1.9179006579e0,-8.8158241402e-1,1.1547763651e0,1.1880405088e-2,9.2361584872e-1,3.2306351476e-1,1.9672284208e0,-9.4243464050e-1,1.0394371808e0,9.5760608268e-4,9.8033741714e-1,2.9296004532e-1,1.9819929770e0,-9.5965218381e-1,1.0079317754e0,4.1266372308e-5,9.9603627518e-1,2.8468435507e-1
