lambda,ntilde_eta50,sigmaz_eta50,x2_eta50,u4x_eta50,gap_eta50,cv_eta50,ntilde_eta200,sigmaz_eta200,x2_eta200,u4x_eta200,gap_eta200,cv_eta200,ntilde_eta1000,sigmaz_eta1000,x2_eta1000,u4x_eta1000,gap_eta1000,cv_eta1000
0.500000,2.4038463302e-1,-9.9043227259e-1,1.0194211833e0,2.3978331104e-4,9.9004595052e-1,3.3113620276e-5,2.4752474598e-1,-9.9752761038e-1,1.0049628403e0,1.6220979419e-5,9.9750306036e-1,2.9833701518e-5,2.4950099873e-1,-9.9950089597e-1,1.0009985027e0,6.6304268298e-7,9.9950012448e-1,2.9011310858e-5
0.601020,3.4739127080e-1,-9.8620398386e-1,1.0280652663e0,4.9236706890e-4,9.8564932852e-1,3.5212079325e-5,3.5765296560e-1,-9.9642968470e-1,1.0071708776e0,3.3717539648e-5,9.9639417170e-1,3.0300261017e-5,3.6050468352e-1,-9.9927902350e-1,1.0014427392e0,1.3830353773e-6,9.9927780912e-1,2.9101738846e-5
0.702041,4.7408055470e-1,-9.8122219431e-1,1.0382983757e0,8.9893565153e-4,9.8047117138e-1,3.7852797220e-5,4.8799319862e-1,-9.9513183171e-1,1.0097841440e0,6.2446405545e-5,9.9508339120e-1,3.0861085747e-5,4.9187802277e-1,-9.9901650023e-1,1.0019684949e0,2.5719963712e-6,9.9901476207e-1,2.9209094976e-5
0.803061,6.2047547666e-1,-9.7549807030e-1,1.0501218973e0,1.5052582994e-3,9.7452403561e-1,4.1128071871e-5,6.3854698639e-1,-9.9363482844e-1,1.0128026623e0,1.0628482989e-4,9.9357151920e-1,3.1520715993e-5,6.4362107306e-1,-9.9871335819e-1,1.0025757699e0,4.3983488951e-6,9.9871101551e-1,2.9333549435e-5
0.904082,7.8660228642e-1,-9.6904440598e-1,1.0635374136e0,2.3583873649e-3,9.6782228637e-1,4.5155742157e-5,8.0931616935e-1,-9.9193956968e-1,1.0162264606e0,1.6958547957e-4,9.9185947796e-1,3.2284538179e-5,8.1573398245e-1,-9.9836963416e-1,1.0032645647e0,7.0555302479e-6,9.9836660662e-1,2.9475299527e-5
1.005102,9.7249028192e-1,-9.6187558246e-1,1.0785466904e0,3.5048429021e-3,9.6038203938e-1,5.0085258181e-5,1.0003027657e0,-9.9004706832e-1,1.0200555689e0,2.5712616167e-4,9.8994831070e-1,3.3158850670e-5,1.0082167454e0,-9.9798537021e-1,1.0040348793e0,1.0761519985e-5,9.9798157752e-1,2.9634570637e-5
1.106122,1.1781717482e0,-9.5400751521e-1,1.0951516745e0,4.9889240017e-3,9.5222109604e-1,5.6105504655e-5,1.2115089903e0,-9.8795845416e-1,1.0242900204e0,3.7405539321e-4,9.8783918055e-1,3.4150939769e-5,1.2210694827e0,-9.9756061310e-1,1.0048867141e0,1.5758317638e-5,9.9755597532e-1,2.9811616514e-5
1.207143,1.4036816171e0,-9.4545760635e-1,1.1133544708e0,6.8512148788e-3,9.4335887214e-1,6.3454840415e-5,1.4429374149e0,-9.8567497114e-1,1.0289298540e0,5.2583473979e-4,9.8553336938e-1,3.5269170326e-5,1.4542923211e0,-9.9709541451e-1,1.0058200694e0,2.2311358918e-5,9.9708985206e-1,3.0006719953e-5
1.308163,1.6490574912e0,-9.3624467754e-1,1.1331573470e0,9.1273422658e-3,9.3381632062e-1,7.2433955893e-5,1.6945907740e0,-9.8319797805e-1,1.0339751109e0,7.1817850041e-4,9.8303227647e-1,3.6523088966e-5,1.7078853690e0,-9.9658983108e-1,1.0068349456e0,3.0708878082e-5,9.9658326472e-1,3.0220193139e-5
1.409184,1.9143391633e0,-9.2638891657e-1,1.1545626997e0,1.1847009920e-2,9.2361584872e-1,8.3422292846e-5,1.9664719084e0,-9.8052894775e-1,1.0394258332e0,9.5699180899e-4,9.8033741714e-1,3.7923542777e-5,1.9818484393e0,-9.9604392497e-1,1.0079313417e0,4.1261206739e-5,9.9603627518e-1,3.0452379860e-5
1.510204,2.1995687294e0,-9.1591179675e-1,1.1775730679e0,1.5033332958e-2,9.1278123009e-1,9.6899012760e-5,2.2585840354e0,-9.7766946296e-1,1.0452820696e0,1.2483083244e-3,9.7745042119e-1,3.9482815509e-5,2.2761825428e0,-9.9545776084e-1,1.0091092618e0,5.4300096438e-5,9.9544895030e-1,3.0703653920e-5
1.611224,2.5047899425e0,-9.0483601968e-1,1.2021910851e0,1.8702454902e-2,9.0133751226e-1,1.1346968722e-4,2.5709304752e0,-9.7462121746e-1,1.0515438697e0,1.5982276145e-3,9.7437303124e-1,4.1214784687e-5,2.5908868391e0,-9.9483141196e-1,1.0103687023e0,7.0177805224e-5,9.9482136177e-1,3.0974422316e-5
1.712245,2.8300485600e0,-8.9318541723e-1,1.2284195125e0,2.2863447596e-2,8.8931092003e-1,1.3390026470e-4,2.9035148452e0,-9.7138601245e-1,1.0582112882e0,2.0128539108e-3,9.7110710101e-1,4.3135097712e-5,2.9259619952e0,-9.9416495342e-1,1.0117096657e0,8.9266409730e-5,9.9415358621e-1,3.1265123653e-5
1.813265,3.1753913795e0,-8.8098489699e-1,1.2562611661e0,2.7518437675e-2,8.7672875527e-1,1.5916016991e-4,3.2563408963e0,-9.6796575637e-1,1.0652843812e0,2.4982362161e-3,9.6765459347e-1,4.5261372634e-5,3.2814080064e0,-9.9345846657e-1,1.0131321518e0,1.1195683412e-4,9.9344570508e-1,3.1576233141e-5
1.914286,3.5408665425e0,-8.6826033822e-1,1.2857189460e0,3.2662953487e-2,8.6361929374e-1,1.9047688147e-4,3.6294125761e0,-9.6436246238e-1,1.0727632080e0,3.0603110669e-3,9.6401757882e-1,4.7613430070e-5,3.6572251153e0,-9.9271203707e-1,1.0146361615e0,1.3865798243e-4,9.9269780472e-1,3.1908258279e-5
2.015306,3.9265232107e0,-8.5503850730e-1,1.3167958163e0,3.8286428694e-2,8.5001167935e-1,2.2940483268e-4,4.0227340724e0,-9.6057824598e-1,1.0806478316e0,3.7048483655e-3,9.6019823246e-1,5.0213543545e-5,4.0534134900e0,-9.9192575556e-1,1.0162216952e0,1.6979577109e-4,9.9190997628e-1,3.2261747947e-5
2.116327,4.3324109443e0,-8.4134697998e-1,1.3494947592e0,4.4372822916e-2,8.3593581653e-1,2.7791211960e-4,4.4363097313e0,-9.5661532368e-1,1.0889383173e0,4.4374006186e-3,9.5619883282e-1,5.3086751905e-5,4.4699733136e0,-9.9109971747e-1,1.0178887535e0,2.0581215098e-4,9.9108231577e-1,3.2637282857e-5
2.217347,4.7585799125e0,-8.2721403236e-1,1.3838187979e0,5.0901335975e-2,8.2142226122e-1,3.3848912062e-4,4.8701440102e0,-9.5247601127e-1,1.0976347318e0,5.2632562475e-3,9.5202175908e-1,5.6261169448e-5,4.9069047925e0,-9.9023402296e-1,1.0196373370e0,2.4716409500e-4,9.9021492393e-1,3.3035490560e-5
2.318367,5.2050802269e0,-8.1266855941e-1,1.4197709482e0,5.7847153720e-2,8.0650211105e-1,4.1428399709e-4,5.3242415929e0,-9.4816272044e-1,1.1067371455e0,6.1873976465e-3,9.4766948882e-1,5.9768375650e-5,5.3642081160e0,-9.8932877702e-1,1.0214674462e0,2.9432255356e-4,9.8930790634e-1,3.3457026802e-5
2.419388,5.6719619533e0,-7.9773996861e-1,1.4573542243e0,6.5182216129e-2,7.9120689518e-1,5.0927072516e-4,5.7986073563e0,-9.4367795674e-1,1.1162456317e0,7.2144637314e-3,9.4314459558e-1,6.3643841713e-5,5.8418835483e0,-9.8838408920e-1,1.0233790820e0,3.4777139945e-4,9.8836137331e-1,3.3902608266e-5
2.520408,6.1592748585e0,-7.8245808101e-1,1.4965716239e0,7.2875966612e-2,7.7556846447e-1,6.2845622415e-4,6.2932463289e0,-9.3902431755e-1,1.1261602660e0,8.3487173720e-3,9.3844974630e-1,6.7927403506e-5,6.3399312394e0,-9.8740007403e-1,1.0253722448e0,4.0800632138e-4,9.8737543987e-1,3.4372980735e-5
2.621429,6.6670678302e0,-7.6685304075e-1,1.5374260861e0,8.0896059822e-2,7.5961888240e-1,7.7813377902e-4,6.8081635116e0,-9.3420449116e-1,1.1364811229e0,9.5940174991e-3,9.3358769873e-1,7.2663806350e-5,6.8583514873e0,-9.8637685043e-1,1.0274469355e0,4.7553375041e-4,9.8635022578e-1,3.4868940929e-5
