lambda,ntilde_eta50,sigmaz_eta50,x2_eta50,u4x_eta50,gap_eta50,cv_eta50,ntilde_eta200,sigmaz_eta200,x2_eta200,u4x_eta200,gap_eta200,cv_eta200,ntilde_eta1000,sigmaz_eta1000,x2_eta1000,u4x_eta1000,gap_eta1000,cv_eta1000
0.500000,2.4038463041e-1,-9.9043253389e-1,1.0194211832e0,2.3978330665e-4,9.9004595052e-1,0.0000000000e0,2.4752474540e-1,-9.9752784404e-1,1.0049628403e0,1.6220979353e-5,9.9750306036e-1,0.0000000000e0,2.4950099861e-1,-9.9950112273e-1,1.0009985027e0,6.6304268231e-7,9.9950012448e-1,0.0000000000e0
0.601020,3.4739126677e-1,-9.8620426295e-1,1.0280652660e0,4.9236705934e-4,9.8564932852e-1,0.0000000000e0,3.5765296474e-1,-9.9642992228e-1,1.0071708776e0,3.3717539509e-5,9.9639417170e-1,0.0000000000e0,3.6050468335e-1,-9.9927925102e-1,1.0014427392e0,1.3830353758e-6,9.9927780912e-1,0.0000000000e0
0.702041,4.7408054875e-1,-9.8122249592e-1,1.0382983754e0,8.9893563283e-4,9.8047117138e-1,0.0000000000e0,4.8799319742e-1,-9.9513207401e-1,1.0097841439e0,6.2446405284e-5,9.9508339120e-1,0.0000000000e0,4.9187802255e-1,-9.9901672865e-1,1.0019684949e0,2.5719963693e-6,9.9901476207e-1,0.0000000000e0
0.803061,6.2047546815e-1,-9.7549840000e-1,1.0501218968e0,1.5052582655e-3,9.7452403561e-1,0.0000000000e0,6.3854698479e-1,-9.9363507629e-1,1.0128026623e0,1.0628482944e-4,9.9357151920e-1,0.0000000000e0,6.4362107276e-1,-9.9871358765e-1,1.0025757699e0,4.3983488913e-6,9.9871101551e-1,0.0000000000e0
0.904082,7.8660227449e-1,-9.6904477048e-1,1.0635374129e0,2.3583873069e-3,9.6782228637e-1,0.0000000000e0,8.0931616727e-1,-9.9193982397e-1,1.0162264606e0,1.6958547883e-4,9.9185947796e-1,0.0000000000e0,8.1573398207e-1,-9.9836986481e-1,1.0032645647e0,7.0555302419e-6,9.9836660662e-1,0.0000000000e0
1.005102,9.7249026544e-1,-9.6187598988e-1,1.0785466894e0,3.5048428069e-3,9.6038203938e-1,0.0000000000e0,1.0003027630e0,-9.9004733001e-1,1.0200555689e0,2.5712616052e-4,9.8994831070e-1,0.0000000000e0,1.0082167449e0,-9.9798560220e-1,1.0040348793e0,1.0761519976e-5,9.9798157752e-1,0.0000000000e0
1.106122,1.1781717256e0,-9.5400797551e-1,1.0951516732e0,4.9889238505e-3,9.5222109604e-1,0.0000000000e0,1.2115089870e0,-9.8795872425e-1,1.0242900204e0,3.7405539148e-4,9.8783918055e-1,0.0000000000e0,1.2210694822e0,-9.9756084658e-1,1.0048867141e0,1.5758317625e-5,9.9755597532e-1,0.0000000000e0
1.207143,1.4036815865e0,-9.4545813184e-1,1.1133544689e0,6.8512146452e-3,9.4335887214e-1,0.0000000000e0,1.4429374108e0,-9.8567525072e-1,1.0289298539e0,5.2583473729e-4,9.8553336938e-1,0.0000000000e0,1.4542923204e0,-9.9709564962e-1,1.0058200694e0,2.2311358900e-5,9.9708985206e-1,0.0000000000e0
1.308163,1.6490574496e0,-9.3624528351e-1,1.1331573445e0,9.1273419124e-3,9.3381632062e-1,0.0000000000e0,1.6945907690e0,-9.8319826831e-1,1.0339751108e0,7.1817849688e-4,9.8303227647e-1,0.0000000000e0,1.7078853682e0,-9.9659006798e-1,1.0068349456e0,3.0708878057e-5,9.9658326472e-1,0.0000000000e0
1.409184,1.9143391072e0,-9.2638962217e-1,1.1545626963e0,1.1847009395e-2,9.2361584872e-1,0.0000000000e0,1.9664719024e0,-9.8052924997e-1,1.0394258331e0,9.5699180412e-4,9.8033741714e-1,0.0000000000e0,1.9818484383e0,-9.9604416382e-1,1.0079313417e0,4.1261206705e-5,9.9603627518e-1,0.0000000000e0
