lambda,ntilde_eta50,sigmaz_eta50,x2_eta50,u4x_eta50,gap_eta50,cv_eta50,ntilde_eta200,sigmaz_eta200,x2_eta200,u4x_eta200,gap_eta200,cv_eta200,ntilde_eta1000,sigmaz_eta1000,x2_eta1000,u4x_eta1000,gap_eta1000,cv_eta1000
0.500000,2.4575292303e-1,-4.5402390396e-1,1.0197432386e0,2.4889321744e-4,9.9004595052e-1,1.9360199619e-1,2.4886861338e-1,-4.6000815963e-1,1.0049829982e0,1.6372631625e-5,9.9750306036e-1,1.9585692769e-1,2.4976990421e-1,-4.6169066758e-1,1.0009993095e0,6.6427732803e-7,9.9950012448e-1,1.9646078714e-1
0.601020,3.5513818321e-1,-4.5046596742e-1,1.0285300209e0,5.1090757582e-4,9.8564932852e-1,1.9227251968e-1,3.5959413450e-1,-4.5907272748e-1,1.0071999949e0,3.4032068427e-5,9.9639417170e-1,1.9552162192e-1,3.6089320220e-1,-4.6150103819e-1,1.0014439048e0,1.3856095690e-6,9.9927780912e-1,1.9639356579e-1
0.702041,4.8463458697e-1,-4.4628886898e-1,1.0389315365e0,9.3243371028e-4,9.8047117138e-1,1.9070681166e-1,4.9064080304e-1,-4.5796791525e-1,1.0098238577e0,6.3027396144e-5,9.9508339120e-1,1.9512526301e-1,4.9240808793e-1,-4.6127670408e-1,1.0019700851e0,2.5767810377e-6,9.9901476207e-1,1.9631402809e-1
0.803061,6.3426087541e-1,-4.4150929656e-1,1.0509489165e0,1.5606820958e-3,9.7452403561e-1,1.8890882422e-1,6.4200992562e-1,-4.5669486455e-1,1.0128546060e0,1.0727069293e-4,9.9357151920e-1,1.9466809222e-1,6.4431461060e-1,-4.6101771205e-1,1.0025778505e0,4.4065262117e-6,9.9871101551e-1,1.9622218363e-1
0.904082,8.0403820172e-1,-4.3614627626e-1,1.0645834378e0,2.4440607784e-3,9.6782228637e-1,1.8688315923e-1,8.1370305062e-1,-4.5525488918e-1,1.0162922633e0,1.7115310939e-4,9.9185947796e-1,1.9415038892e-1,8.1661288747e-1,-4.6072411599e-1,1.0032672014e0,7.0686384965e-6,9.9836660662e-1,1.9611804350e-1
1.005102,9.9398986970e-1,-4.3022106849e-1,1.0798365069e0,3.6302765015e-3,9.6038203938e-1,1.8463508004e-1,1.0057218777e0,-4.5364947414e-1,1.0201368549e0,2.5949392759e-4,9.8994831070e-1,1.9357247092e-1,1.0093029247e0,-4.6039597725e-1,1.0040381379e0,1.0781498054e-5,9.9798157752e-1,1.9600162027e-1
1.106122,1.2041411700e0,-4.2375704650e-1,1.0967096514e0,5.1645759600e-3,9.5222109604e-1,1.8217052201e-1,1.2180682694e0,-4.5188027329e-1,1.0243884088e0,3.7748541325e-4,9.8783918055e-1,1.9293469473e-1,1.2223848219e0,-4.6003336417e-1,1.0048906601e0,1.5787547040e-5,9.9755597532e-1,1.9587292800e-1
1.207143,1.4345190070e0,-4.1677956957e-1,1.1152044946e0,7.0881993527e-3,9.4335887214e-1,1.7949610101e-1,1.4507443654e0,-4.4994910589e-1,1.0290469573e0,5.3063437771e-4,9.8553336938e-1,1.9223745598e-1,1.4558586842e0,-4.5963635228e-1,1.0058247685e0,2.2352704522e-5,9.9708985206e-1,1.9573198228e-1
1.308163,1.6851517818e0,-4.0931583387e-1,1.1353227525e0,9.4371035012e-3,9.3381632062e-1,1.7661911897e-1,1.7037524383e0,-4.4785795533e-1,1.0341125347e0,7.2470111935e-4,9.8303227647e-1,1.9148118970e-1,1.7097246044e0,-4.5920502429e-1,1.0068404633e0,3.0765727344e-5,9.9658326472e-1,1.9557880018e-1
1.409184,1.9560689093e0,-4.0139472527e-1,1.1570661998e0,1.2240982394e-2,9.2361584872e-1,1.7354756562e-1,1.9770948499e0,-4.4560896669e-1,1.0395851760e0,9.6563677920e-4,9.8033741714e-1,1.9066637076e-1,1.9839824606e0,-4.5873947047e-1,1.0079377439e0,4.1337510294e-5,9.9603627518e-1,1.9541340027e-1
1.510204,2.2473007591e0,-3.9304664550e-1,1.1804366715e0,1.5522604256e-2,9.1278123009e-1,1.7029011544e-1,2.2707742445e0,-4.4320444167e-1,1.0454649212e0,1.2595202167e-3,9.7745042119e-1,1.8979351422e-1,2.2786330067e0,-4.5823978647e-1,1.0091166132e0,5.4400390166e-5,9.9544895030e-1,1.9523580267e-1
1.611224,2.5588780539e0,-3.8430334853e-1,1.2054360207e0,1.9297449340e-2,9.0133751226e-1,1.6685611908e-1,2.5847933463e0,-4.4064683725e-1,1.0517518112e0,1.6124947247e-3,9.7437303124e-1,1.8886317571e-1,2.5936756458e0,-4.5770607768e-1,1.0103770687e0,7.0307264304e-5,9.9482136177e-1,1.9504602899e-1
1.712245,2.8908319810e0,-3.7519774225e-1,1.2320661335e0,2.3573640566e-2,8.8931092003e-1,1.6325558847e-1,2.9191550979e0,-4.3793876070e-1,1.0584458902e0,2.0307060416e-3,9.7110710101e-1,1.8787595180e-1,2.9291108828e0,-4.5713845441e-1,1.0117191124e0,8.9430861921e-5,9.9415358621e-1,1.9484410237e-1
1.813265,3.2431933744e0,-3.6576371655e-1,1.2603288693e0,2.8352114677e-2,8.7672875527e-1,1.5949917498e-1,3.2738625367e0,-4.3508296696e-1,1.0655472038e0,2.5202418636e-3,9.6765459347e-1,1.8683248041e-1,3.2849387329e0,-4.5653703489e-1,1.0131427440e0,1.1216279688e-4,9.9344570508e-1,1.9463004746e-1
1.914286,3.6159928081e0,-3.5603593246e-1,1.2902260747e0,3.3627015854e-2,8.6361929374e-1,1.5559814011e-1,3.6489188378e0,-4.3208235420e-1,1.0730557997e0,3.0870740072e-3,9.6401757882e-1,1.8573344110e-1,3.6611593933e0,-4.5590194403e-1,1.0146479644e0,1.3891268541e-4,9.9269780472e-1,1.9440389046e-1
2.015306,4.0092602519e0,-3.4604962309e-1,1.3217595617e0,3.9386251010e-2,8.5001167935e-1,1.5156431840e-1,4.0443273409e0,-4.2893995921e-1,1.0809717281e0,3.7370037010e-3,9.6019823246e-1,1.8457955545e-1,4.0577730070e0,-4.5523331378e-1,1.0162347738e0,1.7010718101e-4,9.9190997628e-1,1.9416565912e-1
2.116327,4.4230245333e0,-3.3584039804e-1,1.3549310697e0,4.5612163726e-2,8.3593581653e-1,1.4741007229e-1,4.4600914873e0,-4.2565895361e-1,1.0892950409e0,4.4756104081e-3,9.5619883282e-1,1.8337158729e-1,4.4747797292e0,-4.5453128298e-1,1.0179031728e0,2.0618899248e-4,9.9108231577e-1,1.9391538270e-1
2.217347,4.8573133986e0,-3.2544402633e-1,1.3897422762e0,5.2282296066e-2,8.2142226122e-1,1.4314823905e-1,4.8962147812e0,-4.2224263946e-1,1.0980257904e0,5.3082047940e-3,9.5202175908e-1,1.8211034302e-1,4.9121797330e0,-4.5379599731e-1,1.0196531618e0,2.4761586863e-4,9.9021492393e-1,1.9365309203e-1
2.318367,5.3121529768e0,-3.1489624038e-1,1.4261947587e0,5.9370181649e-2,8.0650211105e-1,1.3879206986e-1,5.3527008693e0,-4.1869444360e-1,1.1071640314e0,6.2397864368e-3,9.4766948882e-1,1.8079667177e-1,5.3699731795e0,-4.5302760928e-1,1.0214847414e0,2.9485955211e-4,9.8930790634e-1,1.9337881948e-1
2.419388,5.7875677368e0,-3.0423252599e-1,1.4642899959e0,6.6846152682e-2,7.9120689518e-1,1.3435516152e-1,5.8295535114e0,-4.1501791287e-1,1.1167098205e0,7.2750061702e-3,9.4314459558e-1,1.7943146555e-1,5.8481602853e0,-4.5222627812e-1,1.0233979122e0,3.4840471893e-4,9.8836137331e-1,1.9309259901e-1
2.520408,6.2835802781e0,-2.9348792257e-1,1.5040293550e0,7.4678123200e-2,7.7556846447e-1,1.2985138131e-1,6.3267765463e0,-4.1121670914e-1,1.1266632155e0,8.4181334009e-3,9.3844974630e-1,1.7801565939e-1,6.3467411845e0,-4.5139216992e-1,1.0253926746e0,4.0874787488e-4,9.8737543987e-1,1.9279446611e-1
