lambda,ntilde_eta50,sigmaz_eta50,x2_eta50,u4x_eta50,gap_eta50,cv_eta50,ntilde_eta200,sigmaz_eta200,x2_eta200,u4x_eta200,gap_eta200,cv_eta200,ntilde_eta1000,sigmaz_eta1000,x2_eta1000,u4x_eta1000,gap_eta1000,cv_eta1000
2.116327,4.4513756925e0,-1.7767761711e-1,1.3566319813e0,4.6002154302e-2,8.3593581653e-1,4.1821051430e-2,4.4690906984e0,-2.2474071722e-1,1.0894300280e0,4.4901119305e-3,9.5619883282e-1,5.3999732263e-2,4.4766953964e0,-2.4067409581e-1,1.0179089198e0,2.0633929404e-4,9.9108231577e-1,5.7770540150e-2
2.217347,4.8874641283e0,-1.7221605850e-1,1.3915511578e0,5.2706178509e-2,8.2142226122e-1,4.0441359638e-2,4.9060181716e0,-2.2285901958e-1,1.0981728401e0,5.3251554980e-3,9.5202175908e-1,5.3555154849e-2,4.9142794598e0,-2.4026310015e-1,1.0196594610e0,2.4779582647e-4,9.9021492393e-1,5.7675534231e-2
2.318367,5.3440336720e0,-1.6668554022e-1,1.4281074353e0,5.9825735243e-2,8.0650211105e-1,3.9043987221e-2,5.3633321142e0,-2.2090631858e-1,1.1073234989e0,6.2594118501e-3,9.4766948882e-1,5.3093532622e-2,5.3722649450e0,-2.3983368137e-1,1.0214916167e0,2.9507317238e-4,9.8930790634e-1,5.7576255229e-2
2.419388,5.8210958881e0,-1.6110480881e-1,1.4663015181e0,6.7330669826e-2,7.9120689518e-1,3.7633785542e-2,5.8410345518e0,-2.1888474688e-1,1.1168820348e0,7.2975290784e-3,9.4314459558e-1,5.2615340910e-2,5.8506519823e0,-2.3938593894e-1,1.0234053873e0,3.4865630461e-4,9.8836137331e-1,5.7472724262e-2
2.520408,6.3186613882e0,-1.5549220477e-1,1.5061340540e0,7.5188494473e-2,7.7556846447e-1,3.6215522577e-2,6.3391275465e0,-2.1679649951e-1,1.1268484792e0,8.4437714371e-3,9.3844974630e-1,5.2121070126e-2,6.3494406297e0,-2.3891997658e-1,1.0254007730e0,4.0904202811e-4,9.8737543987e-1,5.7364963339e-2
2.621429,6.8367395573e0,-1.4986557136e-1,1.5476056134e0,8.3365130192e-2,7.5961888240e-1,3.4793856033e-2,6.8576130855e0,-2.1464383097e-1,1.1372228612e0,9.7019916211e-3,9.3358769873e-1,5.1611225014e-2,6.8686310352e0,-2.3843590196e-1,1.0274777741e0,4.7673789096e-4,9.8635022578e-1,5.7252995351e-2
2.722449,7.3753388612e0,-1.4424215265e-1,1.5907167157e0,9.1825595439e-2,7.4339031732e-1,3.3373307834e-2,7.3964934466e0,-2.1242904782e-1,1.1480052162e0,1.1075609395e-2,9.2856129871e-1,5.1086323865e-2,7.4082233967e0,-2.3793382669e-1,1.0296363915e0,5.5226106093e-4,9.8528585551e-1,5.7136844067e-2
2.823469,7.9344662793e0,-1.3863852632e-1,1.6354677841e0,1.0053460822e-1,7.2691493643e-1,3.1958240197e-2,7.9557706187e0,-2.1015450998e-1,1.1591955732e0,1.2567593039e-2,9.2337347740e-1,5.0546897723e-2,7.9682175380e0,-2.3741386715e-1,1.0318766242e0,6.3613712947e-4,9.8418245810e-1,5.7016534119e-2
2.924490,8.5141278987e0,-1.3307050999e-1,1.6818591943e0,1.0945712867e-1,7.1022480208e-1,3.0552833500e-2,8.5354467653e0,-2.0782262233e-1,1.1707939650e0,1.4180448372e-2,9.1802724844e-1,4.9993489561e-2,8.5486138779e0,-2.3687614254e-1,1.0341984739e0,7.2889911193e-4,9.8304016735e-1,5.6892091009e-2
3.025510,9.1143282843e0,-1.2755311262e-1,1.7298912240e0,1.1855880273e-1,6.9335177079e-1,2.9161066157e-2,9.1355241472e0,-2.0543583117e-1,1.1828004260e0,1.5916211340e-2,9.1252570505e-1,4.9426653443e-2,9.1494125209e0,-2.3632077658e-1,1.0366019407e0,8.3108617291e-4,9.8185912157e-1,5.6763541087e-2
3.126531,9.7350709261e0,-1.2210046376e-1,1.7795640891e0,1.2780634488e-1,6.7632739535e-1,2.7786696633e-2,9.7560047558e0,-2.0299662341e-1,1.1952149854e0,1.7776444260e-2,9.0687201700e-1,4.8846953664e-2,9.7706133548e0,-2.3574789735e-1,1.0390870242e0,9.4324248150e-4,9.8063946371e-1,5.6630911551e-2
3.227551,1.0376357854e1,-1.1672577569e-1,1.8308779121e0,1.3716783386e-1,6.5918283053e-1,2.6433247755e-2,1.0396890868e1,-2.0050751718e-1,1.2080376779e0,1.9762239079e-2,9.0106942763e-1,4.8254963885e-2,1.0412216700e1,-2.3515763586e-1,1.0416537255e0,1.0659161821e-3,9.7938134118e-1,5.6494230431e-2
