lambda,n_omega50,n_over_eta_omega50,n_omega100,n_over_eta_omega100,n_omega500,n_over_eta_omega500,n_omega1000,n_over_eta_omega1000
5.28571429,0.5514771502,0.0110295430,0.2762102730,0.0027621027,0.0556781805,0.0001113564,0.0278860078,0.0000278860
5.31052632,0.5567428632,0.0111348573,0.2788260914,0.0027882609,0.0562023404,0.0001124047,0.0281484540,0.0000281485
5.33533835,0.5620338828,0.0112406777,0.2814544746,0.0028145447,0.0567289610,0.0001134579,0.0284121294,0.0000284121
5.36015038,0.5673501945,0.0113470039,0.2840952959,0.0028409530,0.0572580431,0.0001145161,0.0286770326,0.0000286770
5.38496241,0.5726917993,0.0114538360,0.2867485933,0.0028674859,0.0577895813,0.0001155792,0.0289431676,0.0000289432
5.40977444,0.5780586882,0.0115611738,0.2894143660,0.0028941437,0.0583235786,0.0001166472,0.0292105319,0.0000292105
5.43458647,0.5834508573,0.0116690171,0.2920926553,0.0029209266,0.0588600344,0.0001177201,0.0294791260,0.0000294791
5.45939850,0.5888683055,0.0117773661,0.2947833681,0.0029478337,0.0593989513,0.0001187979,0.0297489495,0.0000297489
5.48421053,0.5943110112,0.0118862202,0.2974865725,0.0029748657,0.0599403224,0.0001198806,0.0300200014,0.0000300200
5.50902256,0.5997789846,0.0119955797,0.3002022910,0.0030020229,0.0604841561,0.0001209683,0.0302922830,0.0000302923
5.53383459,0.6052722140,0.0121054443,0.3029304685,0.0030293047,0.0610304469,0.0001220609,0.0305657963,0.0000305658
5.55864662,0.6107906912,0.0122158138,0.3056711591,0.0030567116,0.0615791959,0.0001231584,0.0308405385,0.0000308405
5.58345865,0.6163344128,0.0123266883,0.3084243288,0.0030842433,0.0621304039,0.0001242608,0.0311165085,0.0000311165
5.60827068,0.6219033757,0.0124380675,0.3111899803,0.0031118998,0.0626840711,0.0001253681,0.0313937105,0.0000313937
5.63308271,0.6274975656,0.0125499513,0.3139681194,0.0031396812,0.0632401986,0.0001264804,0.0316721413,0.0000316721
5.65789474,0.6331169823,0.0126623396,0.3167587505,0.0031675875,0.0637987853,0.0001275976,0.0319518012,0.0000319518
5.68270677,0.6387616136,0.0127752323,0.3195526003,0.0031955260,0.0643598288,0.0001287197,0.0322326920,0.0000322327
5.70751880,0.6444315643,0.0128886313,0.3223774831,0.0032237748,0.0649233336,0.0001298467,0.0325148121,0.0000325148
5.73233083,0.6501265045,0.0130025301,0.3252055687,0.0032520557,0.0654892972,0.0001309786,0.0327981611,0.0000327982
5.75714286,0.6558467476,0.0131169350,0.3280461689,0.0032804617,0.0660577207,0.0001321154,0.0330827391,0.0000330827
5.78195489,0.6615921817,0.0132318436,0.3308992635,0.0033089926,0.0666286025,0.0001332572,0.0333685493,0.0000333685
5.80676692,0.6673627956,0.0133472559,0.3337648412,0.0033376484,0.0672019434,0.0001344039,0.0336555883,0.0000336556
5.83157895,0.6731585891,0.0134631718,0.3366429224,0.0033664292,0.0677777465,0.0001355555,0.0339438575,0.0000339439
5.85639098,0.6789795478,0.0135795910,0.3395334926,0.0033953349,0.0683560055,0.0001367120,0.0342333557,0.0000342334
5.88120301,0.6848256670,0.0136965133,0.3424365645,0.0034243656,0.0689367255,0.0001378735,0.0345240826,0.0000345241
5.90601504,0.6906969416,0.0138139388,0.3453492528,0.0034534925,0.0695199049,0.0001390398,0.0348160403,0.0000348160
5.93082707,0.6965933574,0.0139318671,0.3482801944,0.0034828019,0.0701055461,0.0001402111,0.0351092278,0.0000351092
5.95563910,0.7025147287,0.0140502946,0.3512207623,0.0035122076,0.0706936415,0.0001413873,0.0354036450,0.0000354036
5.98045113,0.7084616049,0.0141692321,0.3541738133,0.0035417381,0.0712842015,0.0001425684,0.0356992903,0.0000356993
6.00526316,0.7144334159,0.0142886683,0.3571393711,0.0035713937,0.0718772168,0.0001437544,0.0359961684,0.0000359962
6.03007519,0.7204303422,0.0144086068,0.3601174262,0.0036011743,0.0724726972,0.0001449454,0.0362942749,0.0000362943
6.05488722,0.7264525028,0.0145290501,0.3631079821,0.0036310798,0.0730706361,0.0001461413,0.0365936116,0.0000365936
6.07969925,0.7324995052,0.0146499901,0.3661110324,0.0036611103,0.0736710324,0.0001473421,0.0368941805,0.0000368942
6.10451128,0.7385717272,0.0147714345,0.3691265942,0.0036912659,0.0742738959,0.0001485478,0.0371959716,0.0000371960
6.12932331,0.7446690371,0.0148933807,0.3721546560,0.0037215466,0.0748792091,0.0001497584,0.0374989992,0.0000374990
6.15413534,0.7507914174,0.0150158283,0.3751952044,0.0037519520,0.0754869859,0.0001509740,0.0378032535,0.0000378033
6.17894737,0.7569387182,0.0151387744,0.3782482659,0.0037824827,0.0760972241,0.0001521944,0.0381087409,0.0000381087
6.20375940,0.7631113789,0.0152622276,0.3813138173,0.0038131382,0.0767099194,0.0001534198,0.0384154558,0.0000384155
6.22857143,0.7693089401,0.0153861788,0.3843918909,0.0038439189,0.0773250798,0.0001546502,0.0387233994,0.0000387234
6.25338346,0.7755315452,0.0155106309,0.3874824477,0.0038748245,0.0779427004,0.0001558854,0.0390325738,0.0000390326
6.27819549,0.7817791835,0.0156355837,0.3905855095,0.0039058551,0.0785627777,0.0001571256,0.0393429784,0.0000393430
6.30300752,0.7880518492,0.0157610370,0.3937010782,0.0039370108,0.0791853129,0.0001583706,0.0396546137,0.0000396546
6.32781955,0.7943495346,0.0158869907,0.3968291439,0.0039682914,0.0798103155,0.0001596206,0.0399674793,0.0000399675
6.35263158,0.8006722294,0.0160134446,0.3999697204,0.0039996972,0.0804377757,0.0001608756,0.0402815735,0.0000402816
6.37744361,0.8070199274,0.0161403985,0.4031227958,0.0040312280,0.0810676988,0.0001621354,0.0405968983,0.0000405969
6.40225564,0.8133926195,0.0162678524,0.4062883694,0.0040628837,0.0817000812,0.0001634002,0.0409134530,0.0000409135
6.42706767,0.8197903721,0.0163958074,0.4094664550,0.0040946645,0.0823349178,0.0001646698,0.0412312370,0.0000412312
6.45187970,0.8262129510,0.0165242590,0.4126570412,0.0041265704,0.0829722220,0.0001659444,0.0415502499,0.0000415502
6.47669173,0.8326605057,0.0166532101,0.4158601187,0.0041586012,0.0836119833,0.0001672240,0.0418704940,0.0000418705
6.50150376,0.8391331610,0.0167826632,0.4190757094,0.0041907571,0.0842542068,0.0001685084,0.0421919672,0.0000421920
6.52631579,0.8456306976,0.0169126140,0.4223038041,0.0042230380,0.0848988920,0.0001697978,0.0425146698,0.0000425147
6.55112782,0.8521530184,0.0170430604,0.4255443942,0.0042554439,0.0855460308,0.0001710921,0.0428386064,0.0000428386
6.57593985,0.8587005987,0.0171740120,0.4287974851,0.0042879749,0.0861956421,0.0001723913,0.0431637682,0.0000431638
6.60075188,0.8652729454,0.0173054589,0.4320630836,0.0043206308,0.0868477071,0.0001736954,0.0434901615,0.0000434902
6.62556391,0.8718700753,0.0174374015,0.4353411834,0.0043534118,0.0875022390,0.0001750045,0.0438177864,0.0000438178
6.65037594,0.8784923906,0.0175698478,0.4386317753,0.0043863178,0.0881592247,0.0001763184,0.0441466404,0.0000441466
6.67518797,0.8851392977,0.0177027860,0.4419348852,0.0044193489,0.0888186757,0.0001776374,0.0444767226,0.0000444767
6.70000000,0.8918113881,0.0178362278,0.4452504811,0.0044525048,0.0894805850,0.0001789612,0.0448080361,0.0000448080
6.72481203,0.8985084122,0.0179701682,0.4485785916,0.0044857859,0.0901449577,0.0001802899,0.0451405797,0.0000451406
6.74962406,0.9052300501,0.0181046010,0.4519191978,0.0045191920,0.0908117916,0.0001816236,0.0454743549,0.0000454744
6.77443609,0.9119766877,0.0182395338,0.4552723025,0.0045527230,0.0914810891,0.0001829622,0.0458093566,0.0000458094
6.79924812,0.9187481363,0.0183749627,0.4586379094,0.0045863791,0.0921528409,0.0001843057,0.0461455899,0.0000461456
6.82406015,0.9255444638,0.0185108893,0.4620160155,0.0046201602,0.0928270585,0.0001856541,0.0464830547,0.0000464831
6.84887218,0.9323657865,0.0186473157,0.4654066208,0.0046540662,0.0935037372,0.0001870075,0.0468217472,0.0000468217
6.87368421,0.9392116494,0.0187842330,0.4688097296,0.0046880973,0.0941828759,0.0001883658,0.0471616707,0.0000471617
6.89849624,0.9460823635,0.0189216473,0.4722253278,0.0047222533,0.0948644780,0.0001897290,0.0475028258,0.0000475028
6.92330827,0.9529780784,0.0190595616,0.4756534314,0.0047565343,0.0955485419,0.0001910971,0.0478452100,0.0000478452
6.94812030,0.9598986400,0.0191979728,0.4790940310,0.0047909403,0.0962350673,0.0001924701,0.0481888226,0.0000481888
6.97293233,0.9668439261,0.0193368785,0.4825471218,0.0048254712,0.0969240532,0.0001938481,0.0485336674,0.0000485337
6.99774436,0.9738138085,0.0194762762,0.4860127142,0.0048601271,0.0976155003,0.0001952310,0.0488797404,0.0000488797
7.02255639,0.9808088885,0.0196161778,0.4894908034,0.0048949080,0.0983094122,0.0001966188,0.0492270440,0.0000492270
7.04736842,0.9878284768,0.0197565695,0.4929813882,0.0049298139,0.0990057812,0.0001980116,0.0495755784,0.0000495756
7.07218045,0.9948729819,0.0198974596,0.4964844645,0.0049648446,0.0997046134,0.0001994092,0.0499253435,0.0000499253
7.09699248,1.0019421843,0.0200388437,0.5000000425,0.0050000004,0.1004059158,0.0002008118,0.0502763383,0.0000502763
7.12180451,1.0090361476,0.0201807230,0.5035281052,0.0050352811,0.1011096692,0.0002022193,0.0506285608,0.0000506286
7.14661654,1.0161548631,0.0203230973,0.5070686714,0.0050706867,0.1018158824,0.0002036318,0.0509820186,0.0000509820
7.17142857,1.0232983229,0.0204659665,0.5106217214,0.0051062172,0.1025245664,0.0002050491,0.0513367017,0.0000513367
7.19624060,1.0304665229,0.0206093305,0.5141872660,0.0051418727,0.1032357168,0.0002064714,0.0516926153,0.0000516926
7.22105263,1.0376593370,0.0207531867,0.5177653005,0.0051776530,0.1039493204,0.0002078986,0.0520497621,0.0000520498
7.24586466,1.0448771042,0.0208975421,0.5213558277,0.0052135583,0.1046653854,0.0002093308,0.0524081375,0.0000524081
7.27067669,1.0521194733,0.0210423895,0.5249588460,0.0052495885,0.1053839156,0.0002107678,0.0527677421,0.0000527677
7.29548872,1.0593865511,0.0211877310,0.5285743498,0.0052857435,0.1061049007,0.0002122098,0.0531285787,0.0000531286
7.32030075,1.0666783284,0.0213335666,0.5322023406,0.0053220234,0.1068283556,0.0002136567,0.0534906421,0.0000534906
7.34511278,1.0739948008,0.0214798960,0.5358428203,0.0053584282,0.1075542748,0.0002151085,0.0538539398,0.0000538539
7.36992481,1.0813359606,0.0216267192,0.5394957931,0.0053949579,0.1082826621,0.0002165653,0.0542184666,0.0000542185
7.39473684,1.0887018017,0.0217740360,0.5431612415,0.0054316124,0.1090134973,0.0002180270,0.0545842226,0.0000545842
7.41954887,1.0960923185,0.0219218464,0.5468391824,0.0054683918,0.1097468015,0.0002194936,0.0549512093,0.0000549512
7.44436090,1.1035075007,0.0220701500,0.5505296014,0.0055052960,0.1104825751,0.0002209652,0.0553194260,0.0000553194
7.46917293,1.1109473401,0.0222189468,0.5542325053,0.0055423251,0.1112208000,0.0002224416,0.0556888723,0.0000556889
7.49398496,1.1184118377,0.0223682368,0.5579478917,0.0055794789,0.1119614890,0.0002239230,0.0560595524,0.0000560596
7.51879699,1.1259009783,0.0225180196,0.5616757577,0.0056167576,0.1127046448,0.0002254093,0.0564314580,0.0000564315
7.54360902,1.1334147619,0.0226682952,0.5654161102,0.0056541611,0.1134502620,0.0002269005,0.0568045963,0.0000568046
7.56842105,1.1409531799,0.0228190636,0.5691689372,0.0056916894,0.1141983443,0.0002283967,0.0571789636,0.0000571790
7.59323308,1.1485162259,0.0229703245,0.5729342446,0.0057293424,0.1149488865,0.0002298978,0.0575545622,0.0000575546
7.61804511,1.1561038919,0.0231220778,0.5767120210,0.0057671202,0.1157018921,0.0002314038,0.0579313913,0.0000579314
7.64285714,1.1637161730,0.0232743235,0.5805022915,0.0058050229,0.1164573612,0.0002329147,0.0583094505,0.0000583095
7.66766917,1.1713530634,0.0234270613,0.5843050261,0.0058430503,0.1172152889,0.0002344306,0.0586887374,0.0000586887
7.69248120,1.1790144275,0.0235802885,0.5881202379,0.0058812024,0.1179756876,0.0002359514,0.0590692588,0.0000590693
7.71729323,1.1867006475,0.0237340129,0.5919479211,0.0059194792,0.1187385472,0.0002374771,0.0594510097,0.0000594510
7.74210526,1.1944113321,0.0238882266,0.5957880789,0.0059578808,0.1195038658,0.0002390077,0.0598339897,0.0000598340
7.76691729,1.2021465971,0.0240429319,0.5996407053,0.0059964071,0.1202716574,0.0002405433,0.0602182017,0.0000602182
7.79172932,1.2099064439,0.0241981289,0.6035058048,0.0060350580,0.1210418950,0.0002420838,0.0606036403,0.0000606036
7.81654135,1.2176908676,0.0243538174,0.6073833730,0.0060738337,0.1218146065,0.0002436292,0.0609903137,0.0000609903
7.84135338,1.2254998575,0.0245099972,0.6112734081,0.0061127341,0.1225897814,0.0002451796,0.0613782150,0.0000613782
7.86616541,1.2333334112,0.0246666682,0.6151759097,0.0061517591,0.1233674237,0.0002467348,0.0617673456,0.0000617673
7.89097744,1.2411915203,0.0248238304,0.6190908793,0.0061909088,0.1241475228,0.0002482950,0.0621577082,0.0000621577
7.91578947,1.2490741865,0.0249814837,0.6230183104,0.0062301831,0.1249300862,0.0002498602,0.0625493012,0.0000625493
7.94060150,1.2569812551,0.0251396251,0.6269582064,0.0062695821,0.1257151147,0.0002514302,0.0629421235,0.0000629421
7.96541353,1.2649131483,0.0252982630,0.6309105652,0.0063091057,0.1265026089,0.0002530052,0.0633361788,0.0000633362
7.99022556,1.2728694393,0.0254573888,0.6348753861,0.0063487539,0.1272925626,0.0002545851,0.0637314614,0.0000637315
8.01503759,1.2808502598,0.0256170052,0.6388526653,0.0063885267,0.1280849835,0.0002561700,0.0641279759,0.0000641280
8.03984962,1.2888556075,0.0257771122,0.6428424018,0.0064284240,0.1288798598,0.0002577597,0.0645257223,0.0000645257
8.06466165,1.2968854807,0.0259377096,0.6468445982,0.0064684460,0.1296772065,0.0002593544,0.0649246956,0.0000649247
8.08947368,1.3049398696,0.0260987974,0.6508592505,0.0065085925,0.1304770150,0.0002609540,0.0653249006,0.0000653249
8.11428571,1.3130187709,0.0262603754,0.6548863600,0.0065488636,0.1312792906,0.0002625586,0.0657263375,0.0000657263
8.13909774,1.3211221833,0.0264224437,0.6589259191,0.0065892592,0.1320840264,0.0002641681,0.0661290037,0.0000661290
8.16390977,1.3292500970,0.0265850019,0.6629779342,0.0066297793,0.1328912328,0.0002657825,0.0665329026,0.0000665329
8.18872180,1.3374025149,0.0267480503,0.6670423993,0.0066704240,0.1337008949,0.0002674018,0.0669380271,0.0000669380
8.21353383,1.3455794216,0.0269115884,0.6711193139,0.0067111931,0.1345130239,0.0002690260,0.0673443859,0.0000673444
8.23834586,1.3537808237,0.0270756165,0.6752086777,0.0067520868,0.1353276154,0.0002706552,0.0677519747,0.0000677520
8.26315789,1.3620067128,0.0272401343,0.6793104899,0.0067931049,0.1361446752,0.0002722894,0.0681607934,0.0000681608
8.28796992,1.3702572083,0.0274051442,0.6834247483,0.0068342475,0.1369641968,0.0002739284,0.0685708429,0.0000685708
8.31278195,1.3785319355,0.0275706387,0.6875514493,0.0068755145,0.1377861819,0.0002755724,0.0689821235,0.0000689821
8.33759398,1.3868314438,0.0277366289,0.6916905940,0.0069169059,0.1386106321,0.0002772213,0.0693946339,0.0000693946
8.36240602,1.3951550615,0.0279031012,0.6958423563,0.0069584236,0.1394375472,0.0002788751,0.0698083758,0.0000698084
8.38721805,1.4035031879,0.0280700638,0.7000063905,0.0070000639,0.1402669261,0.0002805339,0.0702233463,0.0000702233
8.41203008,1.4118760584,0.0282375212,0.7041829501,0.0070418295,0.1410987746,0.0002821975,0.0706395512,0.0000706396
8.43684211,1.4202732532,0.0284054651,0.7083715811,0.0070837158,0.1419330743,0.0002838661,0.0710569825,0.0000710570
8.46165414,1.4286948991,0.0285738980,0.7125729258,0.0071257293,0.1427698483,0.0002855397,0.0714756464,0.0000714756
8.48646617,1.4371410043,0.0287428201,0.7167867017,0.0071678670,0.1436090858,0.0002872182,0.0718955382,0.0000718955
8.51127820,1.4456115633,0.0289122313,0.7210129153,0.0072101292,0.1444507858,0.0002889016,0.0723166645,0.0000723167
8.53609023,1.4541065655,0.0290821313,0.7252517654,0.0072525177,0.1452949514,0.0002905899,0.0727390182,0.0000727390
8.56090226,1.4626261843,0.0292525237,0.7295026344,0.0072950263,0.1461415800,0.0002922832,0.0731626059,0.0000731626
8.58571429,1.4711699034,0.0294233981,0.7337661399,0.0073376614,0.1469906787,0.0002939814,0.0735874231,0.0000735874
8.61052632,1.4797382281,0.0295947646,0.7380420717,0.0073804207,0.1478422361,0.0002956845,0.0740134683,0.0000740135
8.63533835,1.4883309939,0.0297666199,0.7423304329,0.0074233043,0.1486962605,0.0002973925,0.0744407475,0.0000744407
8.66015038,1.4969481938,0.0299389639,0.7466312213,0.0074663122,0.1495527497,0.0002991055,0.0748692550,0.0000748693
8.68496241,1.5055898200,0.0301117964,0.7509444315,0.0075094443,0.1504117024,0.0003008234,0.0752989933,0.0000752990
8.70977444,1.5142558770,0.0302851175,0.7552700610,0.0075527006,0.1512731211,0.0003025462,0.0757299606,0.0000757300
8.73458647,1.5229463592,0.0304589272,0.7596081174,0.0075960812,0.1521370066,0.0003042740,0.0761621625,0.0000761622
8.75939850,1.5316612669,0.0306332253,0.7639585925,0.0076395859,0.1530033573,0.0003060067,0.0765955938,0.0000765956
8.78421053,1.5404005952,0.0308080119,0.7683212171,0.0076832122,0.1538721611,0.0003077443,0.0770302533,0.0000770303
8.80902256,1.5491643385,0.0309832868,0.7726967960,0.0077269680,0.1547434484,0.0003094869,0.0774661469,0.0000774661
8.83383459,1.5579525003,0.0311590500,0.7770845196,0.0077708452,0.1556171837,0.0003112344,0.0779032694,0.0000779033
8.85864662,1.5667650765,0.0313353015,0.7814848161,0.0078148482,0.1564934018,0.0003129868,0.0783416267,0.0000783416
8.88345865,1.5756020670,0.0315120413,0.7858972142,0.0078589721,0.1573720779,0.0003147442,0.0787812079,0.0000787812
8.90827068,1.5844634667,0.0316892693,0.7903221766,0.0079032218,0.1582532140,0.0003165064,0.0792220237,0.0000792220
8.93308271,1.5933492750,0.0318669855,0.7947595524,0.0079475955,0.1591368210,0.0003182736,0.0796640680,0.0000796641
8.95789474,1.6022592456,0.0320451849,0.7992093347,0.0079920933,0.1600228948,0.0003200458,0.0801073403,0.0000801073
8.98270677,1.6111941086,0.0322238822,0.8036712125,0.0080367121,0.1609114263,0.0003218229,0.0805518548,0.0000805519
9.00751880,1.6201531351,0.0324030627,0.8081461141,0.0080814611,0.1618024281,0.0003236049,0.0809975913,0.0000809976
9.03233083,1.6291365556,0.0325827311,0.8126333602,0.0081263336,0.1626958969,0.0003253918,0.0814445592,0.0000814446
9.05714286,1.6381443851,0.0327628877,0.8171325146,0.0081713251,0.1635918264,0.0003271837,0.0818927591,0.0000818928
9.08195489,1.6471766091,0.0329435322,0.8216440888,0.0082164409,0.1644902244,0.0003289804,0.0823421913,0.0000823422
9.10676692,1.6562332304,0.0331246646,0.8261685207,0.0082616852,0.1653910876,0.0003307822,0.0827928500,0.0000827928
9.13157895,1.6653142490,0.0333062850,0.8307050177,0.0083070502,0.1662944227,0.0003325888,0.0832447433,0.0000832447
9.15639098,1.6744196623,0.0334883932,0.8352542321,0.0083525423,0.1672002108,0.0003344004,0.0836978668,0.0000836979
9.18120301,1.6835494703,0.0336709894,0.8398155095,0.0083981551,0.1681084777,0.0003362170,0.0841522207,0.0000841522
9.20601504,1.6927036723,0.0338540734,0.8443892456,0.0084438925,0.1690191875,0.0003380384,0.0846078018,0.0000846078
9.23082707,1.7018822637,0.0340376453,0.8489754747,0.0084897547,0.1699323886,0.0003398648,0.0850646200,0.0000850646
9.25563910,1.7110852488,0.0342217050,0.8535740431,0.0085357404,0.1708480405,0.0003416961,0.0855226669,0.0000855227
9.28045113,1.7203129264,0.0344062585,0.8581850024,0.0085818500,0.1717661695,0.0003435323,0.0859819423,0.0000859819
9.30526316,1.7295643837,0.0345912877,0.8628083494,0.0086280835,0.1726867631,0.0003453735,0.0864424517,0.0000864425
9.33007519,1.7388405392,0.0347768108,0.8674440813,0.0086744408,0.1736098046,0.0003472196,0.0869041886,0.0000869042
9.35488722,1.7481410764,0.0349628215,0.8720922010,0.0087209220,0.1745353393,0.0003490707,0.0873671574,0.0000873672
9.37969925,1.7574660049,0.0351493201,0.8767526109,0.0087675261,0.1754633278,0.0003509267,0.0878313604,0.0000878314
9.40451128,1.7668153162,0.0353363063,0.8814255869,0.0088142559,0.1763937769,0.0003527876,0.0882967889,0.0000882968
9.42932331,1.7761890164,0.0355237803,0.8861108533,0.0088611085,0.1773266980,0.0003546534,0.0887634538,0.0000887635
9.45413534,1.7855871029,0.0357117421,0.8908084954,0.0089080850,0.1782620864,0.0003565242,0.0892313446,0.0000892313
9.47894737,1.7950084511,0.0359001690,0.8955185194,0.0089551852,0.1791999276,0.0003583999,0.0897004691,0.0000897005
9.50375940,1.8044564280,0.0360891286,0.9002409181,0.0090024092,0.1801402558,0.0003602805,0.0901708243,0.0000901708
9.52857143,1.8139276710,0.0362785534,0.9049758881,0.0090497589,0.1810830422,0.0003621661,0.0906424106,0.0000906424
9.55338346,1.8234232966,0.0364684659,0.9097230035,0.0090972300,0.1820282940,0.0003640566,0.0911152281,0.0000911152
9.57819549,1.8329433049,0.0366588661,0.9144823570,0.0091448236,0.1829759982,0.0003659520,0.0915892766,0.0000915893
9.60300752,1.8424876988,0.0368497540,0.9192542488,0.0091925425,0.1839261857,0.0003678524,0.0920645526,0.0000920646
9.62781955,1.8520564790,0.0370411296,0.9240385092,0.0092403851,0.1848788332,0.0003697577,0.0925410638,0.0000925411
9.65263158,1.8616496398,0.0372329928,0.9288351337,0.0092883513,0.1858339439,0.0003716679,0.0930188027,0.0000930188
9.67744361,1.8712671895,0.0374253438,0.9336441300,0.0093364413,0.1867915323,0.0003735831,0.0934977764,0.0000934978
9.70225564,1.8809091175,0.0376181823,0.9384654896,0.0093846549,0.1877515896,0.0003755032,0.0939779806,0.0000939780
9.72706767,1.8905754366,0.0378115087,0.9432993616,0.0094329936,0.1887140899,0.0003774282,0.0944594110,0.0000944594
9.75187970,1.9002661348,0.0380053227,0.9481456910,0.0094814569,0.1896790797,0.0003793582,0.0949420782,0.0000949421
9.77669173,1.9099812228,0.0381996245,0.9530037423,0.0095300374,0.1906465285,0.0003812931,0.0954259744,0.0000954260
9.80150376,1.9197206937,0.0383944139,0.9578745485,0.0095787455,0.1916164568,0.0003832329,0.0959111008,0.0000959111
9.82631579,1.9294845502,0.0385896910,0.9627577119,0.0096275771,0.1925888269,0.0003851777,0.0963974588,0.0000963975
9.85112782,1.9392727943,0.0387854559,0.9676532328,0.0096765323,0.1935636878,0.0003871274,0.0968850420,0.0000968850
9.87593985,1.9490854232,0.0389817085,0.9725613677,0.0097256137,0.1945409920,0.0003890820,0.0973738737,0.0000973739
9.90075188,1.9589224409,0.0391784488,0.9774813374,0.0097748134,0.1955207749,0.0003910415,0.0978639162,0.0000978639
9.92556391,1.9687838451,0.0393756769,0.9824139186,0.0098241392,0.1965030189,0.0003930060,0.0983552019,0.0000983552
9.95037594,1.9786696377,0.0395733928,0.9873590461,0.0098735905,0.1974877562,0.0003949755,0.0988477158,0.0000988477
9.97518797,1.9885813031,0.0397716261,0.9923161357,0.0099231614,0.1984749199,0.0003969498,0.0993414586,0.0000993415
10.00000000,1.9985143913,0.0399702878,0.9972856319,0.0099728563,0.1994645903,0.0003989292,0.0998364374,0.0000998364
